# Time-averaged data for fix myat3
# TimeStep v_mypress
1000 2688.86
2000 394.829
3000 219.986
4000 -404.647
5000 -182.061
6000 -177.842
7000 -255.269
8000 -63.0789
9000 -72.9162
10000 -320.597
11000 -60.5144
12000 -22.9558
13000 18.9499
14000 -360.565
15000 50.0537
16000 -439.033
17000 -132.909
18000 -195.296
19000 -4.18566
20000 348.845
21000 87.3718
22000 -260.241
23000 69.1469
24000 291.794
25000 13.8132
26000 128.067
27000 -16.2631
28000 -219.277
29000 -55.1216
30000 23.2369
31000 160.64
32000 26.8696
33000 332.737
34000 -69.5192
35000 8.22432
36000 101.844
37000 12.4486
38000 -239.975
39000 -66.9371
40000 -10.5778
41000 -79.1705
42000 -562.561
43000 165.634
44000 54.4167
45000 -195.413
46000 134.372
47000 121.342
48000 275.457
49000 -318.476
50000 -146.179
51000 -127.775
52000 45.9525
53000 138.382
54000 -655.732
55000 -93.5792
56000 -90.7321
57000 -507.672
58000 -102.237
59000 -64.441
60000 482.259
61000 81.7189
62000 176.158
63000 332.637
64000 265.161
65000 -108.303
66000 74.3329
67000 560.025
68000 292.627
69000 -2.29558
70000 363.066
71000 157.975
72000 -120.512
73000 -500.994
74000 -79.7464
75000 458.649
76000 114.448
77000 -126.303
78000 -44.454
79000 82.8937
80000 -47.736
81000 -143.673
82000 138.95
83000 -105.678
84000 203.178
85000 20.5477
86000 4.02524
87000 6.19109
88000 25.8748
89000 74.48
90000 68.0035
91000 400.547
92000 147.635
93000 67.4538
94000 -166.698
95000 -75.8158
96000 191.769
97000 44.3699
98000 403.291
99000 -302.615
100000 187.815
101000 40.5995
102000 23.4525
103000 110.963
104000 100.027
105000 285.13
106000 -20.9478
107000 104.186
108000 159.489
109000 221.998
110000 -18.5681
111000 146.404
112000 -411.456
113000 -139.338
114000 74.3649
115000 -53.5745
116000 -144.108
117000 -130.521
118000 -18.1095
119000 126.947
120000 -237.181
121000 236.732
122000 -68.9892
123000 -109.858
124000 53.2717
125000 -83.5703
126000 89.8624
127000 155.872
128000 -204.701
129000 87.7652
130000 345.139
131000 -146.381
132000 99.2257
133000 215.561
134000 141.379
135000 -134.679
136000 -174.879
137000 66.6684
138000 403.756
139000 -60.3634
140000 -185.226
141000 113.169
142000 -279.09
143000 122.329
144000 -240.949
145000 110.22
146000 -4.65189
147000 -264.699
148000 643.548
149000 191.594
150000 -122.264
151000 -32.1897
152000 -442.469
153000 -414.545
154000 -142.323
155000 60.8982
156000 -36.5356
157000 -116.58
158000 176.777
159000 348.671
160000 -143.146
161000 -283.613
162000 -9.93871
163000 294.714
164000 95.3482
165000 269.522
166000 263.405
167000 35.2031
168000 -39.8805
169000 230.57
170000 490.395
171000 107.591
172000 -561.977
173000 -20.2639
174000 405.626
175000 -97.212
176000 244.606
177000 203.237
178000 109.799
179000 -244.217
180000 21.9684
181000 275.483
182000 417.717
183000 335.916
184000 -68.0604
185000 188.916
186000 242.22
187000 252.621
188000 -16.2438
189000 145.012
190000 -122.196
191000 -188.227
192000 -50.3844
193000 135.502
194000 -214.609
195000 0.988556
196000 -102.296
197000 114.467
198000 -336.668
199000 66.2757
200000 195.964
201000 -54.3918
202000 -38.5885
203000 602.041
204000 -180.212
205000 91.711
206000 -173.952
207000 89.8238
208000 -185.689
209000 -265.554
210000 -34.4869
211000 -155.193
212000 -421.549
213000 69.6863
214000 255.817
215000 508.477
216000 -221.348
217000 22.4392
218000 -184.352
219000 -41.3496
220000 -403.276
221000 -440.571
222000 -197.654
223000 364.102
224000 -78.3892
225000 -53.6209
226000 448.285
227000 131.707
228000 -3.12778
229000 -152.602
230000 93.4485
231000 -81.5135
232000 66.725
233000 278.496
234000 137.807
235000 28.6986
236000 364.861
237000 71.9414
238000 248.625
239000 130.97
240000 -139.154
241000 -23.3085
242000 435.671
243000 -378.413
244000 29.7932
245000 209.456
246000 322.542
247000 -57.3249
248000 7.08267
249000 203.208
250000 114.642
251000 8.98091
252000 58.6995
253000 -19.7656
254000 -144.417
255000 -292.33
256000 289.805
257000 -48.306
258000 -22.2649
259000 72.487
260000 -139.952
261000 177.848
262000 -193.178
263000 -307.092
264000 291.448
265000 292.34
266000 124.508
267000 -66.6509
268000 -454.2
269000 -432.508
270000 58.9593
271000 -218.003
272000 16.8549
273000 56.8578
274000 253.841
275000 -55.941
276000 -120.509
277000 -8.86133
278000 -184.488
279000 229.323
280000 120.373
281000 272.597
282000 -279.8
283000 -198.27
284000 -163.943
285000 23.0953
286000 -29.6913
287000 -107.439
288000 68.9584
289000 3.75762
290000 51.8386
291000 16.5367
292000 21.662
293000 -404.058
294000 -311.222
295000 -126.121
296000 -25.1612
297000 337.516
298000 -93.1266
299000 -274.564
300000 86.87
301000 247.153
302000 -249.895
303000 -147.935
304000 -19.6086
305000 -170.4
306000 19.6827
307000 -119.629
308000 -127.131
309000 -203.332
310000 188.166
311000 228.576
312000 285.007
313000 -256.995
314000 -178.11
315000 235.646
316000 -399.113
317000 -50.9372
318000 -162.942
319000 -373.239
320000 225.874
321000 -195.347
322000 -57.2761
323000 121.772
324000 -56.8761
325000 -301.787
326000 1.92611
327000 -227.019
328000 19.3471
329000 232.663
330000 -427.288
331000 -78.7782
332000 125.92
333000 245.226
334000 128.655
335000 -380.018
336000 -146.852
337000 -319.812
338000 4.02726
339000 -303.56
340000 223.526
341000 149.514
342000 -565.965
343000 -200.873
344000 413.981
345000 281.041
346000 -153.313
347000 -220.377
348000 56.4944
349000 341.33
350000 -278.329
351000 -429.119
352000 -41.1609
353000 -109.073
354000 126.106
355000 -194.14
356000 -123.28
357000 -200.715
358000 185.84
359000 253.998
360000 -167.672
361000 -97.6921
362000 -322.119
363000 14.8035
364000 117.722
365000 191.92
366000 -101.143
367000 -11.1536
368000 232.341
369000 -102.457
370000 70.4795
371000 -144.11
372000 93.7136
373000 -41.618
374000 -102.47
375000 642.649
376000 -38.5106
377000 -335.123
378000 -285.455
379000 64.5273
380000 149.475
381000 -236.479
382000 -572.137
383000 -139.562
384000 108.252
385000 -108.932
386000 -144.237
387000 -264.786
388000 49.2411
389000 170.896
390000 -27.4695
391000 460.26
392000 -146.527
393000 -130.203
394000 -262.383
395000 304.248
396000 -165.883
397000 -49.6852
398000 -304.621
399000 31.144
400000 284.001
401000 -201.735
402000 65.4559
403000 305.679
404000 -10.2184
405000 219.565
406000 70.6053
407000 102.721
408000 193.79
409000 -54.8038
410000 -173.189
411000 -238.352
412000 5.48387
413000 224.87
414000 -163.434
415000 21.1717
416000 117.84
417000 -8.91677
418000 -75.0021
419000 -57.8039
420000 474.874
421000 94.5135
422000 -254.096
423000 99.0797
424000 255.643
425000 -144.084
426000 7.09081
427000 -360.976
428000 311.085
429000 -86.7595
430000 -229.936
431000 -104.869
432000 -18.5065
433000 498.578
434000 -78.2354
435000 -177.358
436000 461.523
437000 -58.8652
438000 -349.641
439000 -544.663
440000 -201.523
