# Time-averaged data for fix myat3
# TimeStep v_mypress
1000 -211.983
2000 134.703
3000 -73.0587
4000 129.798
5000 -400.048
6000 -105.182
7000 48.9439
8000 26.0983
9000 -112.056
10000 184.916
11000 82.3829
12000 -81.2644
13000 101.324
14000 217.757
15000 124.478
16000 71.459
17000 -251.382
18000 -27.0533
19000 61.9188
20000 -431.013
21000 -253.985
22000 80.2829
23000 48.2713
24000 -61.752
25000 219.722
26000 74.5647
27000 -18.8849
28000 -211.752
29000 -317.839
30000 -100.39
31000 324.368
32000 -486.933
33000 32.9001
34000 218.573
35000 -93.509
36000 116.607
37000 156.533
38000 126.786
39000 -332.737
40000 -7.34415
41000 -416.198
42000 -370.642
43000 231.332
44000 -61.0795
45000 191.372
46000 325.558
47000 -87.812
48000 -104.587
49000 29.5064
50000 95.3716
51000 22.4282
52000 48.7767
53000 36.0379
54000 -221.382
55000 620.838
56000 185.344
57000 -270.263
58000 66.9376
59000 42.913
60000 53.0917
61000 -236.195
62000 -146.948
63000 -99.0015
64000 -56.8756
65000 89.543
66000 74.6931
67000 144.572
68000 -137.021
69000 300.997
70000 302.95
71000 -51.5419
72000 96.7964
73000 -119.013
74000 -209.529
75000 -331.153
76000 -60.536
77000 -307.798
78000 -72.326
79000 93.1181
80000 -156.299
81000 -380.261
82000 332.189
83000 -69.1589
84000 361.004
85000 -56.6609
86000 -5.19971
87000 30.374
88000 -74.8989
89000 -129.693
90000 -74.1164
91000 -62.2498
92000 211.827
93000 217.99
94000 -62.6624
95000 261.736
96000 91.0958
97000 79.7601
98000 -92.2967
99000 6.88488
100000 -107.344
101000 250.525
102000 -68.273
103000 -0.181795
104000 151.671
105000 -149.824
106000 -36.3349
107000 -33.6415
108000 56.8329
109000 -389.769
110000 -49.9761
111000 -27.391
112000 133.266
113000 112.387
114000 -0.613797
115000 -20.391
116000 292.725
117000 137.453
118000 -84.1492
119000 -48.5541
120000 176.352
121000 221.088
122000 155.287
123000 -48.8795
124000 88.1847
125000 103.55
126000 -79.6309
127000 118.161
128000 2.54539
129000 353.154
130000 -132.433
131000 -209.781
132000 -148.37
133000 -103.769
134000 -158.235
135000 414.78
136000 -244.546
137000 144.463
138000 -216.089
139000 99.4443
140000 105.208
141000 -190.677
142000 -272.853
143000 49.3146
144000 278.578
145000 -151.329
146000 192.628
147000 85.5875
148000 29.7498
149000 -77.6362
150000 -200.031
151000 160.651
152000 -89.782
153000 -130.074
154000 151.169
155000 458.521
156000 58.3809
157000 227.982
158000 8.87976
159000 -39.9494
160000 197.036
161000 -20.2249
162000 -266.28
163000 348.397
164000 137.934
165000 -189.746
166000 -218.67
167000 -83.3809
168000 -215.159
169000 -287.855
170000 35.9955
171000 107.478
172000 -16.8345
173000 41.6544
174000 83.7632
175000 -186.93
176000 63.6937
177000 -198.188
178000 231.891
179000 46.8271
180000 -269.719
181000 -46.2685
182000 103.832
183000 258.862
184000 43.4012
185000 181.035
186000 -43.9996
187000 55.9186
188000 -183.728
189000 203.207
190000 132.798
191000 -43.1236
192000 -45.1
193000 -72.3087
194000 -150.412
195000 220.702
196000 -242.305
197000 75.4932
198000 -101.92
199000 -149.908
200000 -458.531
201000 243.884
202000 -31.7555
203000 90.702
204000 -417.331
205000 93.4942
206000 197.93
207000 224.762
208000 101.028
209000 139.612
210000 247.87
211000 47.4559
212000 55.5398
213000 164.433
214000 159.938
215000 321.951
216000 362.945
217000 -40.0471
218000 -140.564
219000 250.664
220000 -61.5206
221000 82.4777
222000 52.5887
223000 -303.07
224000 -73.5857
225000 -153.477
226000 177.058
227000 -100.149
228000 -58.7324
229000 -430.472
230000 -255.701
231000 2.05602
232000 32.5405
233000 331.055
234000 -235.396
235000 -97.2596
236000 10.9717
237000 -74.0576
238000 321.468
239000 33.3122
240000 -399.39
241000 123.136
242000 -187.057
243000 54.3165
244000 40.0498
245000 -103.134
246000 -148.154
247000 -226.18
248000 36.507
249000 202.08
250000 69.8886
251000 -16.746
252000 145.379
253000 308.733
254000 -241.69
255000 164.937
256000 -103.04
257000 54.4085
258000 121.303
259000 282.839
260000 1.81246
261000 -165.77
262000 -324.524
263000 64.5297
264000 -307.195
265000 61.6727
266000 -177.723
267000 60.5676
268000 -582.309
269000 169.145
270000 -131.796
271000 366.619
272000 31.4237
273000 -230.88
274000 162.379
275000 21.4516
276000 62.244
277000 -229.458
278000 190.325
279000 137.47
280000 -0.148684
281000 17.7037
282000 -120.058
283000 -63.4319
284000 -201.038
285000 -56.0084
286000 -156
287000 -39.9433
288000 372.157
289000 -87.6368
290000 208.807
291000 -279.385
292000 -217.297
293000 28.5607
294000 -217.731
295000 60.1007
296000 31.0271
297000 1.88039
298000 136.75
299000 -12.9513
300000 76.0804
301000 -58.5113
302000 -497.853
303000 -120.909
304000 95.4124
305000 -77.4527
306000 -240.808
307000 -199.072
308000 281.01
309000 69.545
310000 93.0653
311000 246.862
312000 158.832
313000 -176.047
314000 53.2406
315000 518.357
316000 -186.721
317000 90.3217
318000 117.27
319000 207.363
320000 -333.819
321000 111.196
322000 -3.06756
323000 179.369
324000 66.6399
325000 44.1463
326000 37.173
327000 30.588
328000 -155.944
329000 525.256
330000 -130.122
331000 76.7979
332000 565.541
333000 29.5759
334000 -193.573
335000 216.848
336000 1.64324
337000 -157.787
338000 -39.2238
339000 25.0686
340000 -416.38
341000 -52.3402
342000 39.5052
343000 57.5782
344000 -91.3783
345000 -251.213
346000 -206.08
347000 -424.547
348000 132.019
349000 -130.025
350000 234.867
351000 -400.862
352000 118.951
353000 168.817
354000 223.283
355000 -44.584
356000 -245.827
357000 86.3528
358000 237.43
359000 146.881
360000 -237.416
361000 190.797
362000 301.625
363000 -582.847
364000 363.788
365000 60.1573
366000 134.237
367000 -252.368
368000 69.8008
369000 208.307
370000 -118.288
371000 -198.052
372000 -186.217
373000 178.793
374000 -25.9241
375000 -93.9834
376000 -51.351
377000 122.675
378000 134.345
379000 -185.628
380000 -15.4817
381000 81.1552
382000 226.104
383000 -503.797
384000 280.596
385000 -232.218
386000 68.774
387000 412.542
388000 -149.125
389000 36.1556
390000 -2.32091
391000 237.674
392000 -152.662
393000 235.816
394000 -28.004
395000 -132.637
396000 -11.5378
397000 220.002
398000 -58.4516
399000 -294.835
400000 -151.455
401000 -127.036
402000 -267.857
403000 141.806
404000 -181.886
405000 119.537
406000 -221.148
407000 79.2227
408000 -222.205
409000 -175.977
410000 43.9965
411000 -490.963
412000 -1.93305
413000 558.572
414000 -222.06
415000 359.232
416000 14.7364
417000 54.9188
418000 33.2855
419000 -43.7475
420000 44.3984
421000 -290.317
422000 31.055
423000 -175.213
424000 -278.475
425000 -85.248
426000 280.244
427000 -317.517
428000 -3.82361
429000 20.2244
430000 218.033
431000 -53.2551
432000 -76.1518
433000 -43.8741
434000 -102.249
435000 28.6667
436000 -253.526
437000 -191.202
438000 148.233
439000 231.52
440000 5.35654
441000 22.6784
442000 297.057
443000 229.647
444000 145.792
445000 -35.5517
446000 -221.62
447000 160.88
448000 -251.834
449000 3.52095
450000 100.898
451000 -234.183
452000 140.157
453000 -207.616
454000 -92.0916
455000 172.871
456000 -69.8811
457000 199.855
458000 -27.0121
459000 -109.725
460000 -183.303
461000 -528.553
462000 227.381
463000 -39.9975
464000 -156.141
465000 -113.012
466000 72.9425
467000 310.16
468000 -250.309
469000 -0.269248
470000 -42.4731
471000 -515.637
472000 44.6122
473000 256.486
474000 -136.126
475000 -89.9205
476000 35.5961
477000 81.8772
478000 -365.152
479000 244.516
480000 14.2791
481000 62.8364
482000 -73.4755
483000 241.586
484000 49.5433
485000 -606.625
486000 -138.495
487000 672.517
488000 16.194
489000 -322.803
490000 -27.5548
491000 -183.176
492000 163.721
493000 -93.0963
494000 -280.046
495000 89.2916
496000 -243.397
497000 -68.6431
498000 117.258
499000 262.256
500000 -170.587
501000 -64.9507
502000 228.733
503000 -60.2667
504000 -385.949
505000 -186.195
506000 -125.887
507000 -40.8399
508000 -245.627
509000 -213.058
510000 41.6605
511000 8.106
512000 -68.2323
513000 -502.604
514000 485.282
515000 -306.934
516000 -81.9737
517000 -258.675
518000 381.634
519000 -189.212
520000 376.619
521000 -41.1423
522000 158.446
523000 269.4
524000 -229.097
525000 -6.59116
526000 118.412
527000 105.939
528000 493.271
529000 285.034
530000 26.1296
531000 -580.867
532000 -66.5753
533000 49.1214
534000 92.8543
535000 83.4741
536000 190.98
537000 -256.368
538000 144.875
539000 38.1899
540000 371.633
541000 38.1112
542000 138.779
543000 -46.4913
544000 -130.597
545000 -84.1698
546000 261.673
547000 -173.632
548000 57.966
549000 -6.44746
550000 224.911
551000 153.906
552000 -213.959
553000 -191.123
554000 53.4626
555000 -43.7278
556000 83.119
557000 391.722
558000 -128.48
559000 236.298
560000 -403.525
561000 -166.721
562000 260.124
563000 17.464
564000 -175.515
565000 126.181
566000 -193.801
567000 56.7039
568000 65.0054
569000 -71.3122
570000 -279.273
571000 -46.9499
572000 33.383
573000 43.2303
574000 150.977
575000 167.391
576000 6.71879
577000 -188.641
578000 244.481
579000 32.7578
580000 27.1985
581000 106.091
582000 -77.708
583000 355.49
584000 326.129
585000 285.171
586000 132
587000 -287.314
588000 -117.638
589000 -51.0674
590000 245.422
591000 -282.708
592000 234.695
593000 117.444
594000 -194.34
595000 180.695
596000 181.715
597000 -232.19
598000 -10.2682
599000 130.457
600000 195.698
601000 -48.8838
602000 213.712
603000 103.24
604000 -5.53715
605000 6.43082
606000 -98.7631
607000 -106.06
608000 156.597
609000 322.197
610000 420.525
611000 -141.345
612000 -56.5815
613000 441.937
614000 -223.419
615000 -504.364
616000 7.52918
617000 149.633
618000 -575.506
619000 -137.108
620000 198.417
621000 -43.8143
622000 135.653
623000 -152.655
624000 -115.484
625000 -136.014
626000 322.014
627000 234.192
628000 -85.2906
629000 -251.94
630000 -214.477
631000 188.407
632000 93.9112
633000 -200.63
634000 38.7038
635000 -117.349
636000 54.8484
637000 -343.384
638000 80.7257
639000 -39.1926
640000 110.42
641000 -145.123
642000 -138.598
643000 61.1645
644000 -368.225
645000 138.089
646000 24.7281
647000 -32.1535
648000 129.863
649000 -146.016
650000 -116.223
651000 -220.972
652000 -203.047
653000 321.808
654000 135.279
655000 37.122
656000 -214.133
657000 -163.024
658000 347.111
659000 192.596
660000 -3.99903
661000 123.847
662000 -271.107
663000 -293.075
664000 0.384834
665000 -72.0878
666000 73.5692
667000 -230.378
668000 24.7594
669000 82.3901
670000 96.5139
671000 -206.67
672000 -441.47
673000 141.342
674000 25.4714
675000 29.2437
676000 20.3158
677000 -264.775
678000 67.4712
679000 -81.0441
680000 -57.5158
681000 99.4748
682000 1.97712
683000 -222.907
684000 169.227
685000 -39.9542
686000 61.0687
687000 -377.465
688000 339.045
689000 -201.822
690000 -49.6649
691000 -112.864
692000 89.1392
693000 -139.455
694000 -149.183
695000 309.694
696000 -374.495
697000 271.18
698000 -179.339
699000 206.334
700000 66.7132
701000 187.602
702000 80.9378
703000 -80.8047
704000 90.1382
705000 313.567
706000 26.606
707000 153.709
708000 59.2966
709000 52.6903
710000 -211.848
711000 -133.392
712000 60.157
713000 172.793
714000 -222.979
715000 -232.807
716000 -136.702
717000 -123.982
718000 40.6555
719000 -310.306
720000 -9.93824
721000 55.7385
722000 -173.911
723000 76.1954
724000 177.166
725000 75.3423
726000 53.5126
727000 71.4359
728000 272.612
729000 -46.7194
730000 292.532
731000 -137.325
732000 295.765
733000 -259.937
734000 52.7203
735000 271.714
736000 -87.161
737000 45.0599
738000 -263.186
739000 139.319
740000 -385.029
