# Time-averaged data for fix myat3
# TimeStep v_mypress
10000 -8.25443
20000 -113.695
30000 -58.8136
40000 -141.077
50000 61.8604
60000 27.9057
70000 205.724
80000 -88.636
90000 -199.823
100000 202.886
110000 190.294
120000 -304.479
130000 31.6566
140000 -34.2419
150000 278.08
160000 154.321
170000 -258.207
180000 563.246
190000 -119.086
200000 -157.091
210000 58.9455
220000 51.4376
230000 -528.909
240000 -39.3867
250000 465.919
260000 223.008
270000 263.08
280000 -259.366
290000 406.924
300000 -10.694
310000 6.01726
320000 -60.2887
330000 -154.705
340000 146.369
350000 310.439
360000 -163.306
370000 -222.44
380000 122.12
390000 -170.009
400000 -54.9472
410000 -386.417
420000 270.502
430000 404.154
440000 -72.8568
450000 110.185
460000 -230.175
470000 149.884
480000 126.727
490000 -82.2138
500000 210.029
510000 -117.461
520000 553.846
530000 217.754
540000 649.226
550000 -435.883
560000 -169.821
570000 115.369
580000 -152.172
590000 -173.309
600000 304.957
610000 -390.973
620000 165.97
630000 -459.218
640000 -274.731
650000 -112.063
660000 111.411
670000 82.0569
680000 -255.057
690000 199.694
700000 39.0989
710000 -37.9963
720000 -20.5814
730000 -59.097
740000 -756.433
750000 203.865
760000 -357.735
770000 335.697
780000 178.998
790000 -202.24
800000 22.4951
810000 -270.533
820000 -28.8932
830000 27.3759
840000 37.4675
850000 293.804
860000 -53.694
870000 494.934
880000 289.893
890000 -431.315
900000 3.25624
910000 -1.54613
920000 -410.439
930000 -52.0827
940000 -78.5544
950000 -15.5255
960000 15.2293
970000 -132.365
980000 -27.655
990000 -110.548
1000000 25.6414
1010000 481.291
1020000 552.144
1030000 -25.3365
1040000 319.169
1050000 285.855
1060000 506.964
1070000 -447.735
1080000 -134.128
1090000 408.219
1100000 -171.54
1110000 81.3615
1120000 -23.7817
1130000 174.377
1140000 -408.455
1150000 71.796
1160000 24.2634
1170000 60.2154
1180000 465.027
1190000 -101.91
1200000 40.5486
1210000 29.3624
1220000 227.974
1230000 -385.527
1240000 -475.7
1250000 -53.0106
1260000 73.4371
1270000 502.726
1280000 -234.421
1290000 -310.833
1300000 -13.814
1310000 98.5042
1320000 4.86673
1330000 -70.7797
1340000 357.241
1350000 -83.0448
1360000 3.64864
1370000 125.227
1380000 339.482
1390000 -95.6347
1400000 -139.665
1410000 246.532
1420000 163.554
1430000 -22.2007
1440000 -230.187
1450000 -103.885
1460000 424.82
1470000 -110.313
1480000 488.611
1490000 -264.966
1500000 -16.4507
1510000 -164.026
1520000 41.1393
1530000 -71.3756
1540000 -16.3876
1550000 -324.055
1560000 -261.66
1570000 -139.886
1580000 -164.524
1590000 140.391
1600000 105.24
1610000 121.124
1620000 438.084
1630000 353.451
1640000 -770.984
1650000 15.4959
1660000 330.361
1670000 306.634
1680000 166.065
1690000 -19.569
1700000 60.4037
1710000 -444.708
1720000 -576.808
1730000 757.497
1740000 216.843
1750000 0.144546
1760000 -457.332
1770000 -562.806
1780000 -511.522
1790000 -39.6255
1800000 549.494
1810000 -406.844
1820000 -487.487
1830000 385.58
1840000 -243.546
1850000 751.755
1860000 199.45
1870000 30.8863
1880000 -448.222
1890000 177.792
1900000 228.296
1910000 -6.88287
1920000 -347.933
1930000 -199.636
1940000 -107.171
1950000 -418.86
1960000 -73.3719
1970000 -21.487
1980000 217.574
1990000 -253.294
2000000 163.457
2010000 433.386
2020000 200.161
2030000 -143.105
2040000 69.594
2050000 -352.267
2060000 157.819
2070000 -364.038
2080000 -111.558
2090000 335.254
2100000 -261.734
2110000 54.2208
2120000 -617.685
2130000 55.0153
2140000 145.855
2150000 -15.5617
2160000 -313.876
2170000 382.434
2180000 261.1
2190000 -349.375
2200000 365.757
2210000 275.836
2220000 -31.4029
2230000 -14.0755
2240000 277.173
2250000 5.86287
2260000 345.123
2270000 -84.6618
2280000 -40.5009
2290000 -218.092
2300000 15.6773
2310000 -244.061
2320000 -204.039
2330000 -124.433
2340000 -123.056
2350000 -137.199
2360000 764.606
2370000 88.7794
2380000 -156.668
2390000 213.411
2400000 321.302
2410000 30.4849
2420000 307.058
2430000 -281.794
2440000 -297.775
2450000 262.909
2460000 -117.819
2470000 -39.0587
2480000 -63.1418
2490000 -239.639
2500000 -379.406
2510000 -208.661
2520000 -143.56
2530000 -374.72
2540000 -98.0272
2550000 56.6584
2560000 138.466
2570000 261.111
2580000 402.072
2590000 35.1621
2600000 -41.523
2610000 37.9905
2620000 53.9704
2630000 -246.097
2640000 -530.18
2650000 345.196
2660000 -732.827
2670000 142.06
2680000 255.784
2690000 394.352
2700000 -480.736
2710000 -294.122
2720000 -145.33
2730000 -332.061
2740000 -162.069
2750000 -131.407
2760000 -247.526
2770000 112.076
2780000 -49.7419
2790000 -256.293
2800000 -183.122
2810000 -64.8038
2820000 -129.546
2830000 143.797
2840000 111.477
2850000 606.248
2860000 295.738
2870000 655.164
2880000 80.8527
2890000 -251.234
2900000 -303.697
2910000 -147.688
2920000 -149.064
2930000 145.798
2940000 -120.041
2950000 -115.829
2960000 199.035
2970000 123.76
2980000 -472.813
2990000 -424.015
3000000 155.573
3010000 278.124
3020000 496.817
3030000 284.392
3040000 314.891
3050000 -204.778
3060000 22.8968
3070000 -324.921
3080000 372.591
3090000 141.782
3100000 -203.875
3110000 -136.722
3120000 -200.103
3130000 -256.087
3140000 40.8534
3150000 210.621
3160000 407.496
3170000 -301.578
3180000 68.3781
3190000 -270.709
3200000 -375.366
3210000 -142.947
3220000 52.4479
3230000 9.17693
3240000 -69.4348
3250000 280.785
3260000 -113.079
3270000 368.176
3280000 14.6253
3290000 -156.069
3300000 -449.366
3310000 -86.2618
3320000 -275.064
3330000 -261.003
3340000 346.58
3350000 -139.171
3360000 -420.396
3370000 155.103
3380000 -105.86
3390000 -111.587
3400000 -285.211
3410000 -504.449
3420000 -173.315
3430000 645.64
3440000 -79.0489
3450000 -98.8836
3460000 -77.355
3470000 7.69028
3480000 96.8192
3490000 312.9
3500000 -193.306
3510000 -8.70556
3520000 329.969
3530000 -279.685
3540000 -229.903
3550000 124.155
3560000 -75.9982
3570000 -363.938
3580000 257.778
3590000 -285.625
3600000 -108.032
3610000 -31.5788
3620000 171.201
3630000 -90.5913
3640000 -89.7981
3650000 -71.4279
3660000 -113.756
3670000 -327.368
3680000 35.7877
3690000 -205.395
3700000 40.5358
3710000 63.5873
3720000 79.6543
3730000 -643.374
3740000 -18.0031
3750000 -18.3473
3760000 136.692
3770000 -83.7847
3780000 -288.737
3790000 724.177
3800000 157.051
3810000 54.7573
3820000 -8.05787
3830000 317.002
3840000 104.403
3850000 -38.6858
3860000 39.0193
3870000 321.586
3880000 -40.0365
3890000 -198.18
3900000 160.587
3910000 291.158
3920000 138.061
3930000 123.671
3940000 -267.459
3950000 95.192
3960000 234.919
3970000 -273.049
3980000 -161.797
3990000 -496.676
4000000 229.616
