# Time-averaged data for fix myat3
# TimeStep c_thermo_press
1000 70.4198
2000 -57.2988
3000 -51.6895
4000 296.854
5000 88.7446
6000 27.2008
7000 80.3269
8000 -116.89
9000 -230.417
10000 192.286
11000 -34.2047
12000 -26.9299
13000 -53.9494
14000 113.326
15000 -258.907
16000 -99.3837
17000 -162.261
18000 198.802
19000 30.3242
20000 -38.5637
21000 235.89
22000 -105.432
23000 -109.549
24000 171.102
25000 99.7023
26000 248.986
27000 456.026
28000 252.196
29000 30.8705
30000 566.968
31000 163.398
32000 136.974
33000 70.0528
34000 203.845
35000 0.913414
36000 46.5477
37000 94.1167
38000 19.2057
39000 -205.96
40000 193.152
41000 256.654
42000 312.202
43000 -172.923
44000 16.207
45000 51.6331
46000 74.8245
47000 109.507
48000 146.438
49000 585.991
50000 -77.9884
51000 86.8964
52000 388.702
53000 269.343
54000 374.609
55000 39.9588
56000 30.9468
57000 -7.98519
58000 43.3733
59000 199.174
60000 -21.0514
61000 116.479
62000 222.223
63000 22.1088
64000 -91.6625
65000 316.523
66000 -129.56
67000 -113.123
68000 -40.7683
69000 -148.733
70000 -57.5414
71000 520.253
72000 121.882
73000 -127.839
74000 16.1166
75000 530.255
76000 151.563
77000 266.298
78000 148.183
79000 130.657
80000 36.7844
81000 84.8401
82000 192.248
83000 -163.087
84000 317.107
85000 -68.9834
86000 391.344
87000 430.437
88000 356.788
89000 298.355
90000 58.6544
91000 507.036
92000 176.854
93000 496.169
94000 268.881
95000 306.254
96000 45.0255
97000 43.737
98000 101.383
99000 135.598
100000 -182.931
101000 58.3875
102000 -53.853
103000 89.6863
104000 -105.071
105000 -212.226
106000 4.09131
107000 271.142
108000 147.111
109000 -4.90602
110000 -16.2875
111000 274.942
112000 -33.1482
113000 -94.3283
114000 86.3105
115000 5.7168
116000 -234.87
117000 172.887
118000 258.186
119000 -36.2719
120000 111.189
121000 32.8664
122000 299.408
123000 424.066
124000 346.622
125000 -289.817
126000 33.6876
127000 -2.40841
128000 -37.4041
129000 -239.705
130000 -117.802
131000 274.549
132000 334.157
133000 -214.118
134000 187.268
135000 -55.5207
136000 -179.687
137000 234.566
138000 384.593
139000 666.629
140000 -281.176
141000 155.454
142000 78.8429
143000 227.355
144000 127.095
145000 -71.4997
146000 161.512
147000 -152.23
148000 111.973
149000 196.905
150000 216.758
151000 76.4773
152000 55.4275
153000 -324.013
154000 41.9249
155000 -18.4482
156000 51.3942
157000 -122.816
158000 43.3495
159000 -133.067
160000 -299.317
161000 63.4473
162000 -322.188
163000 -99.8997
164000 -54.6708
165000 8.68191
166000 30.4307
167000 114.059
168000 -33.0624
169000 -67.0133
170000 57.5392
171000 279.767
172000 186.487
173000 221.312
174000 -106.813
175000 -106.9
176000 258.847
