# Time-averaged data for fix myat3
# TimeStep v_mypress
1000 33.121
2000 -37.0245
3000 152.307
4000 95.8305
5000 -116.478
6000 -263.266
7000 -123.776
8000 -379.419
9000 -411.616
10000 53.2475
11000 315.794
12000 -14.8374
13000 -197.477
14000 -24.6332
15000 -26.988
16000 -58.5415
17000 -293.402
18000 -230.791
19000 -250.525
20000 69.472
21000 320.469
22000 384.027
23000 -35.7527
24000 164.184
25000 -33.5746
26000 -197.408
27000 -127.399
28000 -347.017
29000 31.9991
30000 -238.219
31000 28.013
32000 14.8276
33000 -96.4325
34000 -118.407
35000 65.6164
36000 0.444849
37000 112.508
38000 117.699
39000 409.319
40000 245.017
41000 436.074
42000 320.81
43000 347.487
44000 -375.918
45000 -183.922
46000 -496.416
47000 -54.8572
48000 -201.063
49000 -103.95
50000 43.2067
51000 147.286
52000 -171.882
53000 -236.229
54000 118.523
55000 -238.138
56000 -126.073
57000 -99.8598
58000 -94.6068
59000 155.312
60000 238.745
61000 -33.7327
62000 -437.303
63000 476.049
64000 301.61
65000 -393.866
66000 90.8883
67000 -86.7752
68000 -27.871
69000 -430.24
70000 -71.0185
71000 17.8485
72000 72.4895
73000 143.499
74000 144.394
75000 36.6964
76000 248.452
77000 18.9414
78000 -230.297
79000 -88.5404
80000 243.889
81000 -43.7543
82000 234.272
83000 -247.379
84000 -104.404
85000 -13.9956
86000 220.779
87000 307.386
88000 205.124
89000 343.441
90000 -48.9708
91000 52.7388
92000 -113.661
93000 75.6141
94000 -281.509
95000 -76.62
96000 93.3943
97000 -126.332
98000 140.168
99000 189.575
100000 -194.009
101000 -73.1229
102000 628.281
103000 134.949
104000 -93.9873
105000 31.0845
106000 263.082
107000 -29.0263
108000 -15.111
109000 -12.8532
110000 -42.3995
111000 -336.599
112000 198.033
113000 332.577
114000 193.401
115000 -99.887
116000 -59.7586
117000 137.567
118000 -87.2672
119000 295.011
120000 -439.251
121000 -68.7394
122000 150.076
123000 -150.545
124000 241.189
125000 -135.291
126000 228.568
127000 -5.84235
128000 89.6142
129000 -40.4099
130000 -408.422
131000 -121.293
132000 24.6052
133000 -147.98
134000 2.2085
135000 110.377
136000 -411.823
137000 242.165
138000 -39.1611
139000 -284.828
140000 76.7368
141000 317.113
142000 -132.942
143000 13.9288
144000 174.669
145000 39.802
146000 234.868
