# Time-averaged data for fix myat3
# TimeStep c_thermo_press
1000 -792.759
2000 434.853
3000 16.4117
4000 -446.593
5000 -868.009
6000 -1465.94
7000 -1772.49
8000 -1952.29
9000 -1926.64
10000 -1908.99
11000 -1512.64
12000 -1440.86
13000 -1263.34
14000 -1735.25
15000 -1552.94
16000 -1295.67
17000 -1317.85
18000 -1431.98
19000 -1053.48
20000 -1200.47
21000 -1218.8
22000 -1150.99
23000 -1498.48
24000 -1054.94
25000 -1255.83
26000 -1055.39
27000 -1195.6
28000 -1035.74
29000 -1364.78
30000 -1394.6
31000 -1144.13
32000 -1262.66
33000 -1189.72
34000 -1470.17
35000 -1420.01
36000 -1431.01
37000 -1194.06
38000 -1442.93
39000 -1237.12
40000 -1174.37
41000 -1187.46
42000 -1280.45
43000 -1070.16
44000 -1276.53
45000 -1081.31
46000 -1256.07
47000 -1579.75
48000 -1548.38
49000 -1433.67
50000 -1234.1
51000 -1528.67
52000 -1315.14
53000 -1696.94
54000 -1410.43
55000 -1582.87
56000 -1317.13
57000 -1296.46
58000 -1556.37
59000 -1485.34
60000 -1609.56
61000 -1769.42
62000 -1406.19
63000 -1745.11
64000 -1541.11
65000 -1703.27
66000 -1606.56
67000 -1527.41
68000 -1604.35
69000 -1569.05
70000 -1581.93
71000 -1477.11
72000 -1483.09
73000 -1352.3
74000 -1543.55
75000 -1494.38
76000 -1744.71
77000 -1332.71
78000 -1332.07
79000 -1373.7
80000 -1397.93
81000 -1551.59
82000 -1607.47
83000 -1525.71
84000 -1548.75
85000 -1580.37
86000 -1848.44
87000 -1701.86
88000 -1436.37
89000 -1507.96
90000 -1356.18
91000 -1549.4
92000 -1413.51
93000 -1181.57
94000 -1113.36
95000 -1344.35
96000 -1356.69
97000 -1379.02
98000 -1262.81
99000 -1176.17
100000 -1472.66
101000 -1247.51
102000 -1251.88
103000 -1610.83
104000 -1692.44
105000 -1563.15
106000 -1304.55
107000 -1564.36
108000 -1624.01
109000 -1621.76
110000 -1473.9
111000 -1634
112000 -1371.03
113000 -1421.52
114000 -1531.82
115000 -1155.54
116000 -1489.17
117000 -1332.74
118000 -1465.88
119000 -1551.77
120000 -1443.95
121000 -1606.81
122000 -1488.63
123000 -1474.65
124000 -1580.17
125000 -1650.43
126000 -1461.63
127000 -1287.71
128000 -1637.61
129000 -1118.48
130000 -1136.21
131000 -1387.41
132000 -1319.27
133000 -1516.22
134000 -1938.23
135000 -1356.81
136000 -1499.75
137000 -1540.83
138000 -1398.53
139000 -1567.9
140000 -1461.27
141000 -1799.56
142000 -1145.78
143000 -1562.38
144000 -1287.66
145000 -1281.96
146000 -1323.05
147000 -1034.79
148000 -1241.07
149000 -1300.68
150000 -1428.03
151000 -1389.99
152000 -1652.95
153000 -1018.3
154000 -1207.37
155000 -1512.37
156000 -1134.47
157000 -1369.23
158000 -1365.14
159000 -1631.57
160000 -1746.03
161000 -1527.18
162000 -1234.34
163000 -1747.04
164000 -1620.03
165000 -1596.94
166000 -1546.42
167000 -1637.68
168000 -1791.24
169000 -1469.04
170000 -1565.74
171000 -1573.93
172000 -1427.14
173000 -1667.57
174000 -1393
175000 -1250.76
176000 -1491.91
177000 -1753.17
178000 -1601.54
179000 -1330.51
180000 -1507.25
181000 -1814.06
182000 -1523.31
183000 -1582.14
184000 -1414.01
185000 -1614.12
186000 -1630.21
187000 -1365.86
188000 -1758.11
189000 -1482.71
190000 -1452.69
191000 -1338.5
192000 -1360.54
193000 -1770.55
194000 -1464.39
195000 -1538.46
196000 -1297.21
197000 -1697.59
198000 -1303.79
199000 -1212.91
200000 -1409.37
201000 -1618.7
202000 -1337.89
203000 -1056.2
204000 -1634.71
205000 -1657.27
206000 -1218.39
207000 -1617.39
208000 -1528.81
209000 -1386.44
210000 -1351.93
211000 -1344.04
212000 -1376.95
213000 -1479.77
214000 -1418.47
215000 -1421.68
216000 -1697.73
217000 -1529.16
218000 -1184.16
219000 -1244.4
220000 -1448.73
221000 -1459.65
222000 -1652.33
223000 -1346.85
224000 -1316.57
225000 -1587.28
226000 -1490.74
227000 -1889.09
228000 -1373.43
229000 -1224.28
230000 -1309.07
231000 -1476.39
232000 -1486.08
233000 -1463.17
234000 -1562.02
235000 -1266.93
236000 -1478.65
237000 -1400.3
238000 -1513.56
239000 -1578.59
240000 -1511.37
241000 -1612.58
242000 -1648.15
243000 -1462.84
244000 -1311.91
245000 -1569.47
246000 -1783.72
247000 -1800.72
248000 -1639.39
249000 -1524.38
250000 -1674.8
251000 -1252.47
252000 -1434.32
253000 -1403.17
254000 -1737.92
255000 -1776.71
256000 -1705.58
257000 -1486.07
258000 -1431.97
259000 -1077.11
260000 -1656.33
261000 -1328.31
262000 -1690.68
263000 -1409.61
264000 -1316.33
265000 -1401.83
266000 -1394.13
267000 -1566.24
268000 -1515.35
269000 -1475.14
270000 -1516.8
271000 -1551.6
272000 -1622.49
273000 -1614.42
274000 -1470.56
275000 -1745.23
276000 -1745.19
277000 -1532.34
278000 -1671.83
279000 -1636.95
280000 -1507.56
281000 -1617.06
282000 -1703
283000 -1832.54
284000 -1764.13
285000 -1704.78
286000 -1251.4
287000 -1326.59
288000 -1062.15
289000 -1211.67
290000 -1363.65
291000 -1294.67
292000 -1479.61
293000 -1484.3
294000 -1198.76
295000 -1242.54
296000 -1276.01
297000 -1356.53
298000 -1432.21
299000 -1724.76
300000 -1760.17
301000 -1528.8
302000 -1105.96
303000 -1467.78
304000 -1395.95
305000 -1562.11
306000 -1139.21
307000 -836.411
308000 -1230
309000 -1386.48
310000 -1361.12
311000 -1025.37
312000 -1297.27
313000 -1479.16
314000 -1512.34
315000 -1396.11
316000 -1200.5
317000 -1109.56
318000 -1479.22
319000 -1593.24
320000 -1342.04
321000 -1294.08
322000 -1482.53
323000 -1675.06
324000 -1332.87
325000 -1428.22
326000 -1533.54
327000 -1209.71
328000 -1467.07
329000 -1264.78
330000 -1259.71
331000 -1587.7
332000 -1453.42
333000 -1356.34
334000 -1211.55
335000 -1426.1
336000 -1348.77
337000 -1465.53
338000 -1252.77
339000 -1606.1
340000 -1668.95
341000 -1516.77
342000 -1579.23
343000 -1294.92
344000 -1354.27
345000 -1620.71
346000 -1599.23
347000 -1244.37
348000 -1085.95
349000 -982.971
350000 -1120.36
351000 -1237.76
352000 -1546.47
353000 -1405.19
354000 -1335.85
355000 -1351.8
356000 -1471.93
357000 -1244.05
358000 -1488.07
359000 -1559.99
360000 -1386.19
361000 -1399.24
362000 -1666.13
363000 -1607.42
364000 -1477.48
365000 -1696.66
366000 -1243.86
367000 -1696.08
368000 -1403.84
369000 -1839.3
370000 -1454.18
371000 -1577.26
372000 -1620.68
373000 -1608.29
374000 -1632.85
375000 -1605.71
376000 -1384.32
377000 -1242.64
378000 -1311.11
379000 -1541.14
380000 -1359.14
381000 -1497.69
382000 -1454.47
383000 -1452.4
384000 -1613.15
385000 -1458.4
386000 -1374.18
387000 -1283.04
388000 -1468.92
389000 -1390.76
390000 -1264.91
391000 -1040.86
392000 -1398
393000 -1266.53
394000 -1061.04
395000 -1162.59
396000 -1431.23
397000 -909.684
398000 -1353.04
399000 -1278.53
400000 -1237.31
401000 -1287.75
402000 -1780.28
403000 -1467.3
404000 -1645.33
405000 -1498.46
406000 -1563.88
407000 -1698.33
408000 -1399.82
409000 -1295.32
410000 -1471.61
411000 -1299.39
412000 -1635.91
413000 -1432.68
414000 -1395.24
415000 -1202.62
416000 -1440.79
417000 -1126.22
418000 -1436.51
419000 -1454.91
420000 -1321.15
421000 -1681.97
422000 -1282.02
423000 -1515.54
424000 -1145.61
425000 -1741.21
426000 -1474.05
427000 -1520.41
428000 -1587.54
429000 -1263.28
430000 -1399.49
431000 -1527.81
432000 -1433.81
433000 -1427.3
434000 -1440.05
435000 -1449.23
436000 -1459.21
437000 -1230.88
438000 -1428.15
439000 -1436.29
440000 -1150.89
441000 -1661.89
442000 -1778.46
443000 -1460
444000 -1366.84
445000 -1436.15
446000 -1473.41
447000 -1369.31
448000 -1010.01
449000 -1365.92
450000 -1428.13
451000 -1524.4
452000 -1410.24
453000 -1562.25
454000 -1589.4
455000 -1510.51
456000 -1639.37
457000 -1403.35
458000 -1633.16
459000 -1483.19
460000 -1803
461000 -1676.91
462000 -1401.08
463000 -1521.3
464000 -1372.38
465000 -1694.51
466000 -1293.09
467000 -1184.28
468000 -1581.78
469000 -1604.62
470000 -1041.29
471000 -1596.24
472000 -1546.18
473000 -1474.23
474000 -1519.68
475000 -1734.21
476000 -1504.9
477000 -1291.78
478000 -1561.98
479000 -1781.39
480000 -1471.72
481000 -1643.74
482000 -1488.32
483000 -1631.07
484000 -1329.54
485000 -1572.73
486000 -1391.93
487000 -1590.09
488000 -1413.42
489000 -1485.59
490000 -1448.48
491000 -1499.84
492000 -1667.16
493000 -1645.03
494000 -1570.71
495000 -1617.63
496000 -1557.01
497000 -1164.77
498000 -1052.3
499000 -1346.48
500000 -1345.56
501000 -1296.46
502000 -1370.51
503000 -1484.95
504000 -1425.67
505000 -1709.19
506000 -1354.6
507000 -1268.34
508000 -1611.27
509000 -1637.94
510000 -1482.57
511000 -1682.24
512000 -1650.98
513000 -1977.07
514000 -1500.33
515000 -1217.27
516000 -1551.18
517000 -1847.1
518000 -1744.95
519000 -1253.62
520000 -1521.94
521000 -1669.21
522000 -1348.86
523000 -1489.66
524000 -1455.44
525000 -2109.01
526000 -1381.65
527000 -1752.24
528000 -1703.36
529000 -1755.27
530000 -1644.88
531000 -1577.32
532000 -1209.35
533000 -1356.37
534000 -1423.41
535000 -1386.87
536000 -1351.93
537000 -1384.05
538000 -1393.84
539000 -1382.86
540000 -1472.42
541000 -1497.62
542000 -1430.39
543000 -1278.26
544000 -1177.98
545000 -1433.58
546000 -1501.01
547000 -1731.24
548000 -1587.37
549000 -1570
550000 -1574.93
551000 -1573.85
552000 -1357.93
553000 -1787.84
554000 -1369.23
555000 -1438.92
556000 -1237.86
557000 -1413.86
558000 -1423.94
559000 -1504.52
560000 -1423.05
561000 -1520.27
562000 -1466.41
563000 -1345.04
564000 -1919.09
565000 -1210.43
566000 -1411.71
567000 -1366.78
568000 -1484.29
569000 -1311.97
570000 -1393.43
571000 -1123.15
572000 -1121.27
573000 -1537.97
574000 -1140.16
575000 -1491.8
576000 -1471
577000 -1095.13
578000 -1206.67
579000 -1372.34
