# Time-averaged data for fix myat5
# TimeStep Number-of-rows
# Row c_an_rdf[1] c_an_rdf[2]
0 250
1 0.024 0
2 0.072 0
3 0.12 0
4 0.168 0
5 0.216 0
6 0.264 0
7 0.312 0
8 0.36 0
9 0.408 0
10 0.456 0
11 0.504 0
12 0.552 0
13 0.6 0
14 0.648 0
15 0.696 0
16 0.744 0
17 0.792 0
18 0.84 0
19 0.888 0
20 0.936 0
21 0.984 0
22 1.032 0
23 1.08 0
24 1.128 0
25 1.176 0
26 1.224 0
27 1.272 0
28 1.32 0
29 1.368 0
30 1.416 0
31 1.464 0
32 1.512 0
33 1.56 0
34 1.608 0
35 1.656 0
36 1.704 0
37 1.752 0
38 1.8 0
39 1.848 0
40 1.896 0
41 1.944 0
42 1.992 0
43 2.04 0
44 2.088 0
45 2.136 0
46 2.184 0
47 2.232 0
48 2.28 0
49 2.328 0
50 2.376 0
51 2.424 0
52 2.472 0
53 2.52 0
54 2.568 0
55 2.616 0
56 2.664 0
57 2.712 0
58 2.76 0
59 2.808 0.00854869
60 2.856 0.00826376
61 2.904 0.0159857
62 2.952 0.0541452
63 3 0.029958
64 3.048 0.0217664
65 3.096 0.0210967
66 3.144 0.0545533
67 3.192 0.0463093
68 3.24 0.0963158
69 3.288 0.0748194
70 3.336 0.0726819
71 3.384 0.0706346
72 3.432 0.114454
73 3.48 0.116885
74 3.528 0.140804
75 3.576 0.147591
76 3.624 0.159105
77 3.672 0.144974
78 3.72 0.150999
79 3.768 0.1994
80 3.816 0.203674
81 3.864 0.176072
82 3.912 0.162968
83 3.96 0.236413
84 4.008 0.255961
85 4.056 0.225354
86 4.104 0.312161
87 4.152 0.273705
88 4.2 0.271306
89 4.248 0.298828
90 4.296 0.325058
91 4.344 0.435793
92 4.392 0.370409
93 4.44 0.393217
94 4.488 0.448435
95 4.536 0.504516
96 4.584 0.48759
97 4.632 0.468112
98 4.68 0.526266
99 4.728 0.588004
100 4.776 0.493502
101 4.824 0.58511
102 4.872 0.624754
103 4.92 0.607054
104 4.968 0.707355
105 5.016 0.66977
106 5.064 0.604563
107 5.112 0.686122
108 5.16 0.77215
109 5.208 0.827568
110 5.256 0.768601
111 5.304 0.773921
112 5.352 0.828346
113 5.4 0.846048
114 5.448 0.88344
115 5.496 0.850223
116 5.544 0.809248
117 5.592 0.933373
118 5.64 0.976887
119 5.688 0.970887
120 5.736 0.874805
121 5.784 1.03564
122 5.832 0.969116
123 5.88 1.03524
124 5.928 1.10486
125 5.976 1.13626
126 6.024 1.18509
127 6.072 1.04394
128 6.12 1.10681
129 6.168 1.06839
130 6.216 1.24909
131 6.264 1.13038
132 6.312 1.21138
133 6.36 1.22483
134 6.408 1.18357
135 6.456 1.25175
136 6.504 1.25246
137 6.552 1.25616
138 6.6 1.21784
139 6.648 1.16371
140 6.696 1.23579
141 6.744 1.17972
142 6.792 1.29169
143 6.84 1.27795
144 6.888 1.24884
145 6.936 1.2148
146 6.984 1.27555
147 7.032 1.2173
148 7.08 1.36356
149 7.128 1.263
150 7.176 1.24093
151 7.224 1.27874
152 7.272 1.36261
153 7.32 1.26303
154 7.368 1.24539
155 7.416 1.22564
156 7.464 1.26921
157 7.512 1.2626
158 7.56 1.22067
159 7.608 1.24608
160 7.656 1.23625
161 7.704 1.22544
162 7.752 1.14637
163 7.8 1.13009
164 7.848 1.18635
165 7.896 1.2109
166 7.944 1.21233
167 7.992 1.22947
168 8.04 1.20753
169 8.088 1.13966
170 8.136 1.20568
171 8.184 1.20164
172 8.232 1.10113
173 8.28 1.18574
174 8.328 1.16045
175 8.376 1.17793
176 8.424 1.1693
177 8.472 1.08377
178 8.52 1.07159
179 8.568 1.10829
180 8.616 1.07599
181 8.664 1.09015
182 8.712 1.07461
183 8.76 1.02598
184 8.808 1.02786
185 8.856 0.988384
186 8.904 0.999863
187 8.952 0.983281
188 9 0.988632
189 9.048 1.02016
190 9.096 0.96543
191 9.144 0.953708
192 9.192 0.99563
193 9.24 0.9411
194 9.288 0.982968
195 9.336 0.948139
196 9.384 0.961429
197 9.432 0.953183
198 9.48 0.940555
199 9.528 0.916252
200 9.576 0.937963
201 9.624 0.977391
202 9.672 0.946097
203 9.72 0.914658
204 9.768 0.907811
205 9.816 0.873769
206 9.864 0.863901
207 9.912 0.891231
208 9.96 0.881982
209 10.008 0.860082
210 10.056 0.884553
211 10.104 0.85504
212 10.152 0.873135
213 10.2 0.881134
214 10.248 0.861988
215 10.296 0.887035
216 10.344 0.851733
217 10.392 0.865104
218 10.44 0.881287
219 10.488 0.897138
220 10.536 0.877445
221 10.584 0.871911
222 10.632 0.932632
223 10.68 0.855716
224 10.728 0.877946
225 10.776 0.836474
226 10.824 0.840003
227 10.872 0.895333
228 10.92 0.864868
229 10.968 0.872444
230 11.016 0.885409
231 11.064 0.888206
232 11.112 0.897472
233 11.16 0.935231
234 11.208 0.896652
235 11.256 0.875188
236 11.304 0.905225
237 11.352 0.862541
238 11.4 0.90716
239 11.448 0.942258
240 11.496 0.965009
241 11.544 0.881128
242 11.592 1.00979
243 11.64 0.922872
244 11.688 0.972052
245 11.736 0.951393
246 11.784 1.00531
247 11.832 0.943721
248 11.88 0.970975
249 11.928 0.95986
250 11.976 0.97991
1000 250
1 0.024 0
2 0.072 0
3 0.12 0
4 0.168 0
5 0.216 0
