# Time-averaged data for fix myat1
# TimeStep v_mytemp
1000 498.335
2000 499.165
3000 499.153
4000 500.368
5000 499.607
6000 500.445
7000 501.335
8000 501.024
9000 501.199
10000 500.233
11000 500.396
12000 498.847
13000 499.096
14000 499.214
15000 497.362
16000 499.725
17000 499.656
18000 503.174
19000 502.996
20000 500.675
21000 499.358
22000 499.036
23000 502.585
24000 499.81
25000 499.34
26000 503.221
27000 499.729
28000 500.131
29000 498.909
30000 498.86
31000 498.637
32000 498.944
33000 500.116
34000 500.083
35000 499.876
36000 498.937
37000 497.204
38000 498.308
39000 499.003
40000 497.067
41000 501.851
42000 497.342
43000 500.238
44000 500.391
45000 499.985
46000 500.7
47000 495.615
48000 501.048
49000 499.796
50000 497.377
51000 499.824
52000 501.091
53000 500.625
54000 498.582
55000 499.225
56000 500.795
57000 500.362
58000 499.775
59000 500.804
60000 499.814
61000 498.949
62000 499.861
63000 499.965
64000 500.027
65000 503.054
66000 498.432
67000 500.213
68000 497.97
69000 499.126
70000 502.239
71000 504.021
72000 500.08
73000 499.626
74000 501.066
75000 501.612
76000 502.839
77000 500.993
78000 499.245
79000 499.631
80000 501.522
81000 501.926
82000 499.736
83000 498.477
84000 500.944
85000 497.631
86000 498.593
87000 499.717
88000 498.839
89000 501.202
90000 501.845
91000 502.671
92000 500.546
93000 499.473
94000 501.561
95000 498.119
96000 497.29
97000 499.85
98000 502.49
99000 496.496
100000 502.674
101000 501.361
102000 498.791
103000 498.504
104000 498.618
105000 497.31
106000 503.09
107000 500.06
108000 501.204
109000 497.111
110000 501.146
111000 498.71
112000 498.834
113000 500.938
114000 496.927
115000 499.303
116000 502.044
117000 499.253
118000 498.702
119000 499.813
120000 497.857
121000 503.452
122000 497.756
123000 499.147
124000 498.769
125000 500.75
126000 501.511
127000 501.761
128000 498.313
129000 499.1
130000 500.497
131000 501.318
132000 500.604
133000 501.113
134000 501.376
135000 499.764
136000 505.408
137000 499.855
138000 500.805
139000 500.016
140000 501.528
141000 502.09
142000 499.643
143000 502.444
144000 500.566
145000 499.455
146000 498.341
147000 499.335
148000 502.468
149000 500.217
150000 502.082
151000 500.33
152000 501.512
153000 500.725
154000 499.161
155000 502.189
156000 496.781
157000 500.638
158000 502
159000 499.146
160000 498.35
161000 499.942
162000 501.238
163000 500.847
164000 500.021
165000 501.319
166000 499.6
167000 497.016
168000 500.287
169000 500.052
170000 500.545
171000 500.592
172000 495.813
173000 501.459
174000 499.254
175000 499.019
176000 502.15
177000 503.269
178000 499.659
179000 502.414
180000 499.274
181000 498.993
182000 499.479
183000 499.981
184000 500.526
185000 501.935
186000 500.495
187000 499.725
188000 497.639
189000 501.505
190000 500.98
191000 498.796
192000 504.098
193000 499.21
194000 500.763
195000 497.676
196000 498.975
197000 503.562
198000 499.375
199000 498.341
200000 500.466
201000 495.845
202000 499.322
203000 499.427
204000 497.358
205000 502.583
206000 500.903
207000 498.129
