# Time-averaged data for fix myat1
# TimeStep v_mytemp
1000 302.245
2000 299.241
3000 303.195
4000 301.491
5000 297.897
6000 299.159
7000 300.911
8000 297.941
9000 299.397
10000 299.447
11000 301.295
12000 299.47
13000 298.913
14000 301.162
15000 300.931
16000 298.886
17000 302.083
18000 298.107
19000 299.746
20000 298.342
21000 296.892
22000 299.84
23000 301.629
24000 297.137
25000 303.482
26000 299.38
27000 300.818
28000 300.11
29000 300.003
30000 298.864
31000 300.278
32000 299.021
33000 300.295
34000 297.15
35000 298.577
36000 299.31
37000 302.674
38000 299.485
39000 299.598
40000 299.819
41000 301.835
42000 298.659
43000 300.426
44000 299.392
45000 303.262
46000 302.285
47000 301.991
48000 297.183
49000 300.354
50000 301.607
51000 297.891
52000 298.183
53000 301.107
54000 297.46
55000 299.584
56000 300.076
57000 299.013
58000 301.087
59000 299.172
60000 301.547
61000 301.763
62000 299.127
63000 299.617
64000 298.17
65000 302.866
66000 300.114
67000 301.362
68000 298.516
69000 301.503
70000 302.497
71000 299.529
72000 301.785
73000 300.965
74000 297.866
75000 301.273
76000 300.54
77000 297.344
78000 297.886
79000 302.239
80000 300.288
81000 298.261
82000 300.182
83000 303.071
84000 298.361
85000 296.669
86000 301.174
87000 302.377
88000 299.478
89000 298.561
90000 299.118
91000 302.474
92000 297.584
93000 300.058
94000 298.967
95000 300.338
96000 301.653
97000 302.775
98000 299.957
99000 298.975
100000 297.406
101000 297.031
102000 302.852
103000 299.094
104000 302.308
105000 300.39
106000 297.668
107000 299.503
108000 299.876
109000 299.334
110000 300.58
111000 300.836
112000 300.463
113000 300.293
114000 300.663
115000 296.967
116000 300.413
117000 301.558
118000 300.263
119000 302.928
120000 299.908
121000 300.488
122000 301.417
123000 295.842
124000 299.912
125000 299.304
126000 302.388
127000 302.016
128000 300.144
129000 300.433
130000 301.539
131000 300.768
132000 297.673
133000 298.277
134000 301.484
135000 297.444
136000 299.209
137000 300.64
138000 299.873
139000 297.911
140000 299.389
141000 301.116
142000 300.489
143000 300.641
144000 301.591
145000 301.137
146000 297.576
147000 299.225
148000 300.927
149000 299.131
150000 300.245
151000 297.129
152000 303.616
153000 299.088
154000 297.988
155000 299.665
156000 297.862
157000 302.776
158000 299.414
159000 301.831
160000 300.939
161000 299.858
162000 298.342
163000 298.265
164000 299.946
165000 299.598
166000 300.857
167000 298.742
168000 300.535
169000 299.964
170000 301.308
171000 300.791
172000 298.305
173000 303.49
174000 299.905
175000 299.962
176000 301.156
177000 300.464
178000 300.322
179000 299.396
180000 303.481
181000 297.574
182000 300.002
183000 300.222
184000 300.389
185000 302.256
186000 301.202
187000 301.139
188000 298.193
189000 302.803
190000 298.911
191000 299.79
192000 300.678
193000 297.875
194000 301.319
195000 297.689
196000 301.405
197000 302.006
198000 300.358
199000 299.395
200000 297.726
201000 300.181
202000 300.993
203000 298.241
204000 300.83
205000 297.409
206000 299.122
207000 303.64
208000 300.32
209000 300.014
210000 299.752
