# Time-averaged data for fix myat1
# TimeStep v_mytemp
10000 299.335
20000 300.787
30000 298.733
40000 300.034
50000 300.335
60000 300.142
70000 300.127
80000 299.778
90000 299.156
100000 299.638
110000 301.1
120000 299.902
130000 300.024
140000 300.756
150000 300
160000 300.08
170000 300.134
180000 299.672
190000 300.433
200000 299.862
210000 300.718
220000 298.951
230000 300.059
240000 300.309
250000 300.743
260000 300.093
270000 300.18
280000 298.862
290000 299.136
300000 300.814
310000 299.762
320000 301.465
330000 300.886
340000 299.846
350000 300.016
360000 299.863
370000 299.955
380000 299.304
390000 300.84
400000 300.591
410000 299.769
420000 300.245
430000 300.29
440000 300.538
450000 298.623
460000 300.48
470000 299.798
480000 298.949
490000 300.332
500000 299.771
510000 299.918
520000 300.62
530000 299.855
540000 299.127
550000 298.626
560000 300.374
570000 300.692
580000 298.973
590000 299.637
600000 300.834
610000 299.704
620000 298.755
630000 298.583
640000 300.382
650000 299.293
660000 300.551
670000 298.507
680000 298.567
690000 298.672
700000 300.394
710000 299.998
720000 299.822
730000 300.278
740000 299.373
750000 300.72
760000 298.614
770000 300.199
780000 299.362
790000 299.662
800000 301.709
810000 299.561
820000 300.416
830000 299.738
840000 299.507
850000 301.253
860000 299.121
870000 301.398
880000 299.931
890000 299.533
900000 298.83
910000 300.158
920000 299.351
930000 300.087
940000 300.218
950000 301.271
960000 300.573
970000 300.277
980000 301.522
990000 300.386
1000000 300.437
1010000 299.512
1020000 300.531
1030000 300.381
1040000 298.715
1050000 300.659
1060000 299.549
1070000 300.193
1080000 300.098
1090000 299.064
1100000 300.158
1110000 300.352
1120000 299.997
1130000 301.166
1140000 299.586
1150000 299.782
1160000 300.131
1170000 300.955
1180000 299.378
1190000 301.855
1200000 300.071
1210000 299.006
1220000 300.512
1230000 300.131
1240000 300.251
1250000 300.392
1260000 300.224
1270000 301.122
1280000 300.533
1290000 299.244
1300000 300.51
1310000 299.595
1320000 300.124
1330000 300.351
1340000 300.722
1350000 300.106
1360000 299.22
1370000 301.2
1380000 301.34
1390000 301.032
1400000 301.554
1410000 301.203
1420000 299.597
1430000 300.447
1440000 299.228
1450000 300.845
1460000 299.501
1470000 301.084
1480000 299.702
1490000 300.304
1500000 299.319
1510000 299.688
1520000 301.057
1530000 299.733
1540000 300.324
1550000 301.125
1560000 299.53
1570000 299.253
1580000 300.057
1590000 300.546
1600000 301.021
1610000 300.58
1620000 300.083
1630000 299.742
1640000 300.345
1650000 299.952
1660000 299.955
1670000 299.911
1680000 300.136
1690000 301.262
1700000 299.82
1710000 299.115
1720000 299.319
1730000 300.605
1740000 301.022
1750000 299.149
1760000 300.351
1770000 299.685
1780000 299.412
1790000 299.963
1800000 299.98
1810000 299.112
1820000 299.595
1830000 300.198
1840000 300.454
1850000 300.281
1860000 300.173
1870000 301.707
1880000 299.429
1890000 300.602
1900000 299.472
1910000 301.334
1920000 299.513
1930000 299.279
1940000 299.639
1950000 299.982
1960000 300.154
1970000 298.695
1980000 300.827
1990000 300.949
2000000 299.581
2010000 299.326
2020000 299.523
2030000 299.528
2040000 299.886
2050000 298.613
2060000 299
2070000 299.891
2080000 300.973
2090000 301.142
2100000 300.283
2110000 301.036
2120000 299.845
2130000 299.997
2140000 299.343
2150000 300.347
2160000 299.226
2170000 300.185
2180000 299.423
2190000 299.16
2200000 300.202
2210000 300.726
2220000 299.752
2230000 299.553
2240000 299.036
2250000 300.288
2260000 301.4
2270000 299.476
2280000 300.554
2290000 298.986
2300000 301.02
2310000 299.858
2320000 300.34
2330000 300.133
2340000 299.231
2350000 300.067
2360000 298.975
2370000 300.85
2380000 300.09
2390000 299.848
2400000 300.168
2410000 299.642
2420000 300.56
2430000 299.963
2440000 300.201
2450000 298.866
2460000 299.452
2470000 300.415
2480000 299.218
2490000 299.356
2500000 299.545
2510000 299.835
2520000 299.57
2530000 298.75
2540000 299.659
2550000 300.022
2560000 300.007
2570000 299.353
2580000 301.126
2590000 299.931
2600000 299.584
2610000 299.156
2620000 299.729
2630000 300.832
2640000 299.186
2650000 299.325
2660000 300.048
2670000 299.756
2680000 299.345
2690000 300.202
2700000 300.213
2710000 301.102
2720000 300.295
2730000 299.657
2740000 300.509
2750000 299.753
2760000 300.089
