# Time-averaged data for fix myat1
# TimeStep v_mytemp
1000 300.776
2000 298.293
3000 297.834
4000 298.517
5000 299.732
6000 300.275
7000 302.788
8000 300.692
9000 300.951
10000 299.281
11000 297.275
12000 299.889
13000 302.614
14000 300.845
15000 302.699
16000 297.012
17000 298.404
18000 300.685
19000 303.412
20000 300.987
21000 299.056
22000 298.585
23000 300.573
24000 304.317
25000 301.963
26000 300.073
27000 299.196
28000 299.097
29000 300.249
30000 298.723
31000 298.038
32000 300.431
33000 301.914
34000 301.701
35000 301.608
36000 299.534
37000 298.725
38000 299.871
39000 301.122
40000 301.339
41000 301.115
42000 299.745
43000 298.304
44000 300.969
45000 301.314
46000 300.262
47000 298.682
48000 298.781
49000 300.233
50000 301.119
51000 302.36
52000 302.582
53000 297.279
54000 299.674
55000 299.977
56000 302.323
57000 301.411
58000 299.406
59000 295.721
60000 296.87
61000 299.175
62000 300.738
63000 300.959
64000 301.456
65000 299.682
66000 298.401
67000 299.575
68000 300.636
69000 300.636
70000 300.602
71000 299.31
72000 297.518
73000 297.007
74000 296.609
75000 297.703
76000 299.709
77000 299.749
78000 301.121
79000 298.263
80000 296.631
81000 299.684
82000 300.806
83000 301.988
84000 299.432
85000 297.427
86000 299.293
87000 302.044
88000 301.048
89000 299.778
90000 298.713
91000 299.081
92000 299.712
93000 299.161
94000 300.909
95000 300.663
96000 300.412
97000 299.477
98000 297.469
99000 298.172
100000 303.464
101000 300.831
102000 301.103
103000 299.099
104000 298.309
105000 300.765
106000 300.295
107000 299.713
108000 300.213
109000 300.429
110000 297.218
111000 298.827
112000 301.015
113000 302.601
114000 299.877
115000 298.844
116000 297.997
117000 299.137
118000 298.6
119000 301.602
120000 301.715
121000 302.083
122000 298.888
123000 297.355
124000 297.671
125000 303.532
126000 301.489
127000 300.833
128000 299.233
129000 298.845
130000 299.384
131000 303.765
132000 302.327
133000 300.457
134000 299.362
135000 300.325
136000 300.538
137000 300.749
138000 304.139
139000 300.215
140000 300.017
141000 298.454
142000 300.181
143000 303.261
144000 300.754
145000 299.855
146000 298.571
147000 300.343
148000 301.617
149000 300.315
150000 297.819
151000 298.579
152000 299.262
153000 301.256
154000 301.868
155000 299.89
156000 298.351
157000 296.778
158000 298.033
159000 300.833
160000 300.321
161000 299.69
162000 299.411
163000 297.311
164000 298.39
165000 301.346
166000 300.736
167000 300.579
168000 297.415
169000 298.247
170000 298.57
171000 299.834
172000 300.349
173000 299.357
174000 299.157
175000 297.938
176000 300.523
177000 301.396
178000 302.496
179000 298.532
180000 300.695
181000 299.701
182000 300.371
183000 302.039
184000 305.822
185000 303.456
186000 300.2
187000 299.608
188000 298.833
189000 300.099
190000 301.92
191000 303.592
192000 299.034
193000 297.599
194000 300.539
195000 302.196
196000 301.06
197000 297.818
198000 299.099
199000 298.452
200000 300.603
201000 301.708
202000 300.962
203000 299.925
204000 299.39
205000 299.647
206000 300.91
207000 302.573
208000 301.019
209000 298.273
210000 299.194
211000 300.926
212000 301.551
213000 302.908
214000 301.684
215000 300.708
216000 299.092
217000 299.905
218000 299.959
219000 301.78
220000 302.967
221000 300.037
222000 299.538
223000 298.873
224000 298.539
225000 299.358
226000 302.127
227000 302.111
228000 299.329
229000 297.895
230000 299.447
231000 301.14
232000 301.411
233000 304.328
234000 303.945
235000 299.244
236000 299.464
237000 298.183
238000 299.807
239000 302.625
240000 303.397
241000 300.484
242000 300.491
243000 298.612
244000 300.986
245000 301.856
246000 300.946
247000 299.245
248000 299.138
249000 298.221
250000 300.521
251000 302.062
252000 300.989
253000 299.044
254000 300.095
255000 300.001
256000 303.11
257000 303.723
258000 298.63
259000 299.684
260000 299.099
261000 302.229
262000 301.423
263000 304.69
264000 304.947
265000 301.323
266000 301.243
267000 299.999
268000 299.475
269000 299.961
270000 303.839
271000 302.435
272000 300.781
273000 298.787
274000 300.44
275000 300.782
276000 299.65
277000 300.547
278000 301.367
279000 299.915
280000 298.901
281000 298.036
282000 298.045
283000 303.963
284000 301.82
285000 300.469
286000 298.273
287000 299.387
288000 301.918
289000 303.259
290000 302.263
291000 301.26
292000 299.655
293000 299.564
294000 300.709
295000 303.017
296000 303.392
297000 301.577
298000 298.815
299000 299.267
300000 299.73
301000 302.935
302000 302.53
303000 301.315
304000 299.819
305000 300.349
306000 300.274
307000 300.951
308000 303.649
309000 302.252
310000 300.148
311000 297.055
312000 300.418
313000 299.373
314000 303.663
315000 302.896
316000 301.692
317000 300.155
318000 298.888
319000 298.859
320000 299.073
321000 302.489
322000 301.518
323000 300.336
324000 299.009
325000 298.87
326000 299.927
327000 301.684
328000 304.184
329000 303.638
330000 301.045
331000 300.144
332000 298.826
333000 298.984
334000 299.056
335000 300.197
336000 302.832
337000 300.706
338000 298.114
339000 297.618
340000 300.422
341000 301.566
342000 301.321
343000 298.312
344000 297.974
345000 298.405
346000 301.96
347000 300.853
348000 300.201
349000 296.581
350000 295.359
351000 298.659
352000 299.781
353000 300.115
354000 300.696
355000 299.564
356000 298.256
357000 296.708
358000 297.791
359000 301.106
360000 300.912
361000 300.136
362000 300.088
363000 298.378
364000 300.21
365000 303.946
366000 301.001
367000 300.019
368000 298.201
369000 300.044
370000 301.408
371000 301.715
372000 302.558
373000 299.751
374000 298.907
375000 300.594
376000 298.963
377000 300.28
378000 300.08
379000 301.574
380000 300.309
381000 298.847
382000 297.946
383000 299.616
384000 301.487
385000 301.433
386000 300.686
387000 300.966
388000 297.86
389000 298.956
390000 301.912
391000 302.819
392000 300.864
393000 298.283
394000 298.946
395000 300.418
396000 302.745
397000 305.258
398000 301.942
399000 303.237
400000 297.775
401000 298.216
402000 300.614
403000 302.065
404000 302.161
405000 300.036
406000 298.004
407000 300.493
