# Time-averaged data for fix myat1
# TimeStep v_mytemp
1000 502.208
2000 500.226
3000 498.309
4000 503.526
5000 500.572
6000 503.636
7000 500.06
8000 502.06
9000 497.089
10000 494.313
11000 500.146
12000 500.344
13000 499.969
14000 499.748
15000 497.24
16000 490.141
17000 498.035
18000 500.8
19000 503.084
20000 494.149
21000 499.345
22000 499.605
23000 497.083
24000 496.54
25000 499.026
26000 497.1
27000 498.711
28000 497.423
29000 499.396
30000 494.828
31000 492.433
32000 495.73
33000 496.427
34000 494.589
35000 498.588
36000 495.645
37000 495.363
38000 496.465
39000 496.039
40000 495.077
41000 499.416
42000 498.801
43000 496.795
44000 495.184
45000 492.67
46000 495.613
47000 490.712
48000 488.896
49000 491.042
50000 496.648
51000 491.656
52000 495.642
53000 497.823
54000 494.453
55000 493.725
56000 499.546
57000 493.737
58000 493.591
59000 492.805
60000 495.875
61000 498.608
62000 491.027
63000 496.265
64000 495.173
65000 488.901
66000 497.526
67000 496.037
68000 499.134
69000 490.045
70000 489.527
71000 494.352
72000 493.006
73000 493.684
74000 495.201
75000 491.897
76000 487.797
77000 490.399
78000 492.375
79000 494.912
80000 492.456
81000 491.293
82000 492.504
83000 488.754
84000 491.967
85000 498.175
86000 489.313
87000 495.919
88000 488.467
89000 493.12
90000 496.53
91000 490.043
92000 490.604
93000 487.489
94000 494.685
95000 489.686
96000 489.486
97000 490.039
98000 489.529
99000 485.619
100000 487.835
101000 491.487
102000 489.405
103000 491.411
104000 485.622
105000 495.923
106000 489.868
107000 490.356
108000 487.631
109000 490.546
110000 493.481
111000 489.894
112000 483.989
113000 492.233
114000 493.075
115000 487.018
116000 488.558
117000 484.72
118000 489.748
119000 487.651
120000 478.891
121000 494.379
122000 491.389
123000 492.81
124000 487.843
125000 482.75
126000 489.354
127000 485.386
128000 483.51
129000 487.804
130000 486.515
131000 488.058
132000 483.883
133000 483.443
134000 480.716
135000 488.088
136000 488.291
137000 485.97
138000 483.291
139000 482.412
140000 487.819
141000 486.038
142000 482.876
143000 484.892
144000 485.49
145000 488.404
146000 484.157
147000 485.051
148000 489.638
149000 487.775
150000 485.982
151000 481.91
152000 481.853
153000 482.801
154000 485.243
155000 485.707
156000 483.137
157000 485.629
158000 484.322
159000 487.517
160000 483.613
161000 482.037
162000 482.638
163000 483.709
164000 482.601
165000 478.831
166000 483.401
167000 486.208
168000 479.783
169000 484.106
170000 484.85
171000 487.189
172000 482.244
173000 483.251
174000 480.945
175000 481.25
176000 480.557
177000 483.168
178000 482.043
179000 482.255
180000 480.743
181000 482.881
182000 484.805
183000 486.258
184000 479.013
185000 483.051
186000 486.892
187000 481.584
188000 483.795
189000 478.033
190000 479.278
191000 480.371
192000 482.702
193000 480.512
194000 476.998
195000 482.57
196000 481.365
197000 480.327
198000 477.86
199000 477.244
200000 476.064
201000 482.523
202000 481.613
203000 478.016
204000 478.878
205000 479.975
206000 479.064
207000 479.179
208000 480.886
209000 481.428
210000 481.521
211000 480.231
212000 479.185
213000 478.533
214000 478.719
215000 477.719
216000 479.751
217000 478.688
218000 485.853
219000 473.833
220000 478.218
221000 476.428
222000 476.664
223000 479.848
224000 478.772
225000 476.666
226000 477.873
227000 480.868
228000 477.903
229000 476.729
230000 478.07
231000 477.31
232000 475.716
233000 476.722
