# Time-averaged data for fix myat2
# TimeStep v_myvol
1000 176231
2000 191711
3000 198903
4000 196557
5000 192170
6000 186170
7000 180396
8000 175170
9000 171466
10000 166772
11000 161622
12000 159381
13000 156661
14000 155014
15000 151465
16000 149927
17000 149446
18000 148904
19000 147048
20000 146066
21000 145041
22000 145355
23000 144929
24000 144700
25000 142835
26000 143220
27000 142208
28000 143142
29000 142169
30000 142226
31000 141250
32000 140810
33000 140526
34000 141152
35000 141285
36000 141040
37000 141714
38000 141242
39000 141187
40000 140240
41000 140771
42000 140940
43000 139052
44000 140295
45000 140768
46000 139667
47000 140336
48000 139683
49000 140519
50000 140431
51000 139897
52000 140133
53000 139655
54000 140510
55000 139640
56000 140325
57000 139350
58000 139332
59000 139238
60000 138415
61000 138088
62000 138623
63000 138386
64000 138551
65000 138763
66000 138001
67000 137823
68000 138177
69000 139004
70000 138483
71000 139402
72000 138952
73000 139371
74000 138143
75000 138690
76000 138538
77000 138794
78000 138208
79000 139050
80000 139467
81000 139296
82000 138789
83000 139325
84000 137824
85000 138982
86000 138905
87000 137637
88000 138982
89000 138890
90000 139440
91000 138501
92000 138715
93000 138348
94000 139217
95000 140113
96000 138679
97000 138963
98000 138393
99000 138931
100000 138952
101000 138328
102000 138058
103000 138651
104000 138245
105000 137324
106000 139226
107000 138258
108000 137910
109000 137614
110000 137544
111000 138437
112000 139025
113000 138207
114000 138305
115000 138391
116000 139140
117000 138540
118000 138202
119000 137422
120000 137968
121000 138715
122000 138870
123000 137651
124000 138049
125000 138130
126000 138067
127000 138024
128000 138431
129000 137925
130000 137771
131000 137762
132000 137130
133000 138154
134000 137531
135000 137810
136000 138194
137000 137659
138000 138272
139000 138057
140000 138417
141000 137522
142000 137657
143000 138241
144000 137703
145000 138240
146000 137552
147000 138441
148000 138036
149000 137739
150000 138210
151000 138222
152000 138551
153000 138286
154000 138641
155000 138194
156000 137574
157000 138468
158000 137883
159000 137838
160000 138160
161000 139146
162000 138597
163000 138298
164000 138068
165000 137992
166000 138650
167000 137976
168000 138478
169000 137950
170000 137855
171000 138291
172000 139217
173000 138952
174000 138498
175000 139054
176000 137176
177000 137579
178000 138308
179000 138433
180000 137457
181000 137609
182000 137703
183000 137325
184000 138078
185000 137432
186000 137842
187000 137377
188000 137658
189000 137882
190000 138362
191000 138561
192000 138414
193000 138775
194000 138429
195000 138575
196000 138856
197000 138422
198000 138737
199000 138747
200000 137765
201000 137785
202000 137954
203000 136766
204000 138494
205000 138075
206000 138539
207000 138370
208000 138092
209000 137715
210000 137522
211000 138602
212000 138533
213000 137932
214000 138136
215000 137729
216000 138774
217000 137870
218000 137176
219000 137992
220000 137096
221000 137369
222000 138135
223000 137581
224000 138571
225000 138328
226000 137844
227000 137673
228000 137076
229000 137690
230000 137792
231000 138067
232000 138450
233000 137745
234000 137688
235000 137810
236000 137683
237000 137872
238000 138174
239000 137824
240000 137711
241000 138444
242000 137763
243000 138451
244000 138198
245000 138001
246000 137393
247000 136794
248000 136696
249000 137888
250000 137484
251000 137468
252000 136846
253000 136841
254000 137778
255000 138001
256000 136720
257000 137681
258000 137262
259000 137068
260000 137389
261000 137754
262000 138196
263000 138372
264000 137442
265000 137990
266000 138647
267000 138910
268000 138974
269000 139633
270000 138707
271000 138743
272000 138238
273000 138195
274000 137457
275000 138790
276000 139252
277000 139144
278000 138364
279000 138271
280000 138240
281000 138180
282000 138790
283000 138294
284000 138793
285000 139097
286000 138732
287000 139710
288000 138779
289000 138634
290000 139230
291000 138467
292000 138599
293000 138399
294000 138504
295000 138483
296000 138908
297000 138007
298000 138147
299000 138148
300000 138465
301000 138641
302000 138999
303000 138921
304000 138602
305000 139238
306000 138166
307000 138708
308000 138346
309000 138788
310000 138489
311000 137940
312000 137799
313000 138299
314000 139140
315000 138865
316000 138964
317000 138479
318000 138794
319000 138374
320000 138874
321000 138717
322000 138924
323000 138452
324000 138608
325000 138263
326000 138678
327000 138545
328000 139090
329000 139486
330000 138681
331000 139021
332000 138565
333000 139404
334000 138442
335000 139305
336000 139805
337000 139021
338000 138427
339000 139094
340000 138406
341000 138494
342000 138799
343000 139016
344000 137923
345000 137559
346000 138341
347000 138705
348000 138350
349000 138031
350000 139049
351000 139321
352000 138336
353000 138734
354000 138031
355000 138886
356000 139129
357000 137936
358000 138066
359000 137758
360000 138887
361000 138366
362000 138769
363000 138394
364000 137026
365000 138186
366000 137832
367000 138240
368000 138197
369000 138428
370000 138049
371000 138461
372000 138055
373000 137923
374000 137598
375000 137272
376000 137784
377000 138636
378000 139171
379000 138584
380000 137920
381000 138295
382000 138994
383000 139016
384000 138686
385000 138424
386000 139366
387000 138506
388000 138411
389000 139081
390000 138821
391000 138800
392000 138219
393000 138327
394000 138407
395000 137669
396000 139107
397000 139005
398000 139100
399000 138638
400000 138033
401000 138377
402000 138490
403000 137963
404000 138481
405000 137663
406000 138052
407000 137901
408000 137413
409000 138477
410000 138009
411000 138721
412000 138511
413000 137814
414000 137442
415000 137917
416000 137881
417000 137556
418000 137659
419000 137279
420000 138149
421000 137985
422000 138387
423000 138035
424000 137962
425000 138206
426000 137054
427000 137983
428000 137323
429000 138282
430000 137926
431000 137637
432000 138275
433000 138077
434000 138107
435000 137727
436000 136664
437000 138048
438000 137490
439000 137844
440000 137422
441000 137780
442000 137446
443000 138038
444000 138181
445000 138524
446000 137849
447000 137866
448000 137945
449000 138576
450000 138260
451000 138064
452000 137952
453000 137966
454000 138246
455000 138043
456000 138846
457000 138857
458000 137863
459000 137558
460000 137197
461000 138350
462000 137981
463000 137486
464000 137841
465000 137893
466000 137230
467000 137569
468000 137210
469000 137439
470000 137482
471000 137456
472000 138494
473000 137159
474000 137735
475000 137370
476000 137346
477000 137611
478000 137420
479000 138159
480000 138917
481000 137801
482000 138699
483000 138669
484000 138473
485000 138872
486000 138053
487000 138028
488000 138253
489000 138542
490000 138558
491000 137936
492000 138095
493000 138903
494000 138090
495000 138357
496000 138426
497000 138749
498000 138638
499000 138586
500000 138682
501000 138351
502000 138906
503000 138210
504000 138672
505000 137923
506000 137944
507000 137754
508000 138345
509000 138649
510000 137867
511000 138444
512000 137926
513000 138270
514000 138468
515000 138812
516000 137730
517000 138619
518000 138297
519000 138073
520000 138480
521000 138449
522000 138775
523000 139248
524000 139358
525000 139280
526000 138819
527000 137969
528000 137668
529000 137951
530000 138109
531000 137842
532000 137873
533000 138353
534000 138989
535000 137916
536000 137987
537000 138866
538000 138285
539000 138553
540000 138427
541000 138101
542000 138595
543000 138924
544000 137934
545000 137775
546000 138008
547000 137734
548000 138470
549000 138062
550000 138437
551000 137965
552000 138765
553000 138118
554000 138176
555000 138226
556000 138540
557000 138538
558000 138464
559000 138281
560000 139134
561000 138569
562000 137482
563000 138782
564000 137639
565000 138389
566000 137839
567000 138198
568000 138220
569000 138486
570000 138934
571000 139284
572000 139550
573000 138062
574000 138486
575000 138786
576000 137743
577000 138543
578000 138427
579000 138331
580000 138536
581000 138514
582000 139147
583000 139024
584000 138885
585000 138792
586000 139166
587000 139132
588000 139120
589000 138201
590000 138435
591000 138393
592000 138378
593000 137862
594000 138236
595000 138781
596000 139017
597000 138785
598000 139294
599000 138792
600000 138334
601000 138983
602000 138713
603000 138939
604000 138623
605000 138980
606000 138856
607000 138777
608000 138096
609000 138529
610000 138395
611000 138186
612000 137472
613000 137517
614000 137073
615000 137403
616000 138300
617000 138142
618000 137976
619000 137879
620000 138061
621000 137716
622000 137977
623000 137630
624000 137408
625000 137700
626000 137079
627000 136718
628000 136562
629000 136837
630000 136679
631000 136793
632000 136462
633000 137825
634000 137668
635000 137417
636000 138244
637000 137489
638000 138228
639000 137959
640000 138191
641000 138305
642000 137920
643000 137847
644000 137037
645000 137919
646000 137214
647000 137696
648000 137552
649000 137988
650000 137307
651000 137474
652000 137812
653000 137060
654000 137581
655000 137804
656000 138768
657000 137956
658000 137873
659000 138190
660000 138060
661000 137974
662000 137360
663000 137816
664000 137657
665000 138205
666000 138004
667000 137515
668000 138065
669000 138090
670000 138001
671000 137271
672000 137591
673000 137360
674000 137462
675000 137849
676000 137444
677000 137843
678000 137477
679000 137944
680000 138025
681000 137688
682000 137879
683000 137089
684000 137557
685000 137997
686000 137637
687000 138598
688000 138276
689000 137491
690000 137896
691000 137061
692000 137197
693000 138047
694000 137830
695000 137186
696000 137032
697000 137307
698000 138052
699000 137645
700000 138278
701000 138307
702000 137943
703000 137706
704000 137815
705000 137974
706000 137598
707000 137884
708000 138401
709000 137762
710000 137518
711000 137964
712000 138313
713000 137792
714000 137409
715000 137490
716000 137952
717000 138539
718000 138006
719000 137942
720000 138659
721000 138340
722000 137342
723000 138589
724000 138432
725000 138384
726000 139378
727000 138887
728000 138861
729000 138147
730000 138704
731000 139107
732000 139208
733000 137888
734000 138393
735000 138755
736000 138757
737000 138963
738000 137821
739000 137459
740000 138693
741000 138166
742000 138143
743000 138445
744000 138871
745000 138619
746000 139159
747000 139233
748000 138881
749000 139069
750000 138066
751000 138969
752000 138715
753000 139157
754000 139266
755000 138872
756000 138558
757000 139197
758000 138964
759000 139702
760000 138158
761000 137845
762000 138597
763000 138531
764000 138582
765000 137548
766000 137903
767000 137481
768000 137731
769000 137851
770000 137657
771000 137062
772000 138041
773000 138151
774000 139257
775000 138312
776000 137777
777000 138301
778000 137365
779000 137549
780000 137945
781000 138636
782000 137962
783000 137904
784000 137703
785000 137132
786000 137980
787000 137207
788000 137012
789000 137817
790000 137049
791000 137245
792000 137392
793000 139146
794000 137803
795000 137581
796000 138344
797000 137896
798000 138081
799000 138581
800000 138886
801000 138519
802000 138252
803000 138278
804000 138604
805000 139507
806000 138563
807000 138756
808000 138310
809000 138516
810000 138081
811000 138825
812000 137993
813000 137925
814000 137447
815000 137281
816000 138268
817000 137369
818000 137297
819000 136938
820000 138040
821000 137878
822000 137645
823000 137630
824000 137919
825000 138027
826000 137421
827000 136837
828000 137794
829000 137505
830000 137095
831000 138072
832000 138733
833000 138580
834000 138024
835000 138565
836000 137837
837000 137206
838000 139220
839000 138120
840000 137921
841000 138170
842000 138223
843000 137822
844000 137233
845000 137605
846000 138397
847000 137931
848000 139227
849000 137790
850000 137599
851000 138239
852000 138039
853000 137644
854000 138649
855000 137960
856000 138442
857000 138588
858000 139128
859000 138998
860000 137281
861000 138411
862000 137457
863000 137927
864000 138272
865000 137008
866000 137115
867000 137689
868000 136918
869000 136665
870000 138166
871000 138169
872000 137575
873000 138012
874000 136630
875000 137685
876000 137609
877000 137230
878000 138594
879000 137129
880000 136743
881000 137146
882000 136772
883000 136985
884000 137275
885000 137015
886000 137127
887000 137017
888000 137550
889000 137754
890000 137230
891000 138091
892000 137755
893000 137874
894000 137452
895000 137352
896000 138562
897000 138608
898000 138146
899000 138430
900000 137510
901000 137880
902000 138577
903000 137471
904000 137700
905000 138425
906000 138625
907000 137753
908000 138029
909000 137894
910000 137859
911000 137595
912000 137615
913000 138414
914000 137616
915000 137514
916000 138322
917000 137902
918000 137700
919000 137116
920000 137865
921000 137437
922000 138324
923000 138474
924000 138792
925000 138656
926000 138757
927000 138204
928000 138320
929000 137987
930000 138130
931000 138196
932000 138353
933000 138722
934000 138084
935000 138025
936000 138418
937000 138071
938000 137524
939000 138104
940000 137558
941000 138442
942000 137708
943000 137154
944000 137668
945000 138000
946000 138209
947000 138644
948000 137865
949000 137749
950000 137027
951000 138323
952000 137966
953000 137156
954000 137309
955000 138124
956000 138623
957000 138443
958000 137986
959000 137747
960000 136956
961000 138257
962000 137896
963000 138673
964000 138874
965000 138088
966000 138242
967000 139052
968000 138353
969000 138058
970000 138341
971000 138544
972000 137350
973000 137497
974000 137261
975000 137629
976000 137285
977000 137127
978000 137519
979000 137902
980000 137524
981000 137442
982000 137337
983000 136828
984000 137373
985000 137399
986000 138905
987000 137756
988000 137457
989000 137551
990000 136972
991000 138739
992000 138222
993000 137434
994000 137724
995000 137992
996000 138620
997000 138433
998000 137927
999000 137161
1000000 137669
1001000 137033
1002000 137484
1003000 137322
1004000 138012
1005000 137910
1006000 137463
1007000 137245
1008000 137664
1009000 138336
1010000 137796
1011000 139042
1012000 138196
1013000 138773
1014000 138739
1015000 137829
1016000 138926
1017000 138151
1018000 138030
1019000 138478
1020000 138449
1021000 138164
1022000 138827
1023000 138833
1024000 139120
1025000 138196
1026000 137911
1027000 138340
1028000 138864
1029000 139267
1030000 138931
1031000 138487
1032000 137987
1033000 137699
1034000 137539
1035000 137469
1036000 137512
1037000 138022
1038000 137103
1039000 137807
1040000 137975
1041000 137124
1042000 138099
1043000 137785
1044000 137780
1045000 137738
1046000 137593
1047000 137866
1048000 137923
1049000 137270
1050000 138356
1051000 138010
1052000 138251
1053000 137819
1054000 137182
1055000 137913
1056000 137486
1057000 137732
1058000 138420
1059000 137879
1060000 137179
1061000 138186
1062000 137857
1063000 137397
1064000 136945
1065000 137731
1066000 137504
1067000 137921
1068000 136842
1069000 137823
1070000 137994
1071000 137289
1072000 137122
1073000 138224
1074000 138205
1075000 138310
1076000 137835
1077000 137670
1078000 138779
1079000 137639
1080000 137415
1081000 138002
1082000 137772
1083000 138302
1084000 137477
1085000 137269
1086000 138319
1087000 138253
1088000 137329
1089000 137162
1090000 137267
1091000 138332
1092000 137857
1093000 137745
1094000 138480
1095000 138531
1096000 137461
1097000 137475
1098000 137378
1099000 137822
1100000 137353
1101000 137407
1102000 137980
1103000 137434
1104000 137970
1105000 137632
1106000 138243
1107000 137523
1108000 137490
1109000 138093
1110000 137644
1111000 137413
1112000 137661
1113000 137759
1114000 137959
1115000 137980
1116000 137942
1117000 137712
1118000 137360
1119000 138070
1120000 137676
1121000 138701
1122000 138480
1123000 138198
1124000 138477
1125000 137578
1126000 138598
1127000 138385
1128000 138244
1129000 137049
1130000 137582
1131000 137339
1132000 137279
1133000 137178
1134000 137294
1135000 136973
1136000 137587
1137000 137496
1138000 137116
1139000 137264
1140000 137410
1141000 138047
1142000 138505
1143000 137840
1144000 137674
1145000 137951
1146000 137761
1147000 137728
1148000 137150
1149000 138063
1150000 137808
1151000 138706
1152000 138512
1153000 137621
1154000 138829
1155000 138558
1156000 137472
1157000 138927
1158000 138308
1159000 137933
1160000 138523
1161000 138521
1162000 138039
1163000 138520
1164000 137786
1165000 138723
1166000 137608
1167000 138088
1168000 137333
1169000 137425
1170000 138290
1171000 137270
1172000 137372
1173000 137727
1174000 138106
1175000 137393
1176000 137745
1177000 138289
1178000 137926
1179000 137825
1180000 137828
1181000 138040
1182000 138373
1183000 138862
1184000 138529
1185000 138264
1186000 137280
1187000 138567
1188000 137277
1189000 137231
1190000 137985
1191000 137869
1192000 137550
1193000 137939
1194000 137137
1195000 137748
1196000 137790
1197000 138102
1198000 137371
1199000 137548
1200000 138363
1201000 137737
1202000 136968
1203000 137116
1204000 137981
1205000 138162
1206000 137730
1207000 138338
1208000 138097
1209000 138151
1210000 137314
1211000 137787
1212000 138650
1213000 138602
1214000 138072
1215000 138426
1216000 138173
1217000 138332
1218000 138293
1219000 138258
1220000 138292
1221000 138072
1222000 137245
1223000 138150
1224000 137304
1225000 136852
1226000 138442
1227000 137993
1228000 138542
1229000 138062
1230000 138286
1231000 138280
1232000 138292
1233000 138315
1234000 137802
1235000 138050
1236000 138620
1237000 138285
1238000 138093
1239000 137906
1240000 138471
1241000 137686
1242000 137995
1243000 137478
1244000 138707
1245000 137688
1246000 137742
1247000 137203
1248000 137911
1249000 138324
1250000 137094
1251000 138096
1252000 138109
1253000 137638
1254000 138033
1255000 138216
1256000 137855
1257000 137433
1258000 137778
1259000 137794
1260000 138663
1261000 137842
1262000 137656
1263000 137902
1264000 138152
1265000 137491
1266000 137746
1267000 137543
1268000 137974
1269000 138523
1270000 137673
1271000 138335
1272000 138148
1273000 137919
1274000 137153
1275000 137576
1276000 137926
1277000 137845
1278000 137577
1279000 137951
1280000 138058
1281000 137044
1282000 137499
1283000 137459
1284000 137981
1285000 137948
1286000 137951
1287000 137941
1288000 137883
1289000 137983
1290000 137762
1291000 137819
1292000 138919
1293000 138115
1294000 138788
1295000 138486
1296000 138882
1297000 138307
1298000 139048
1299000 138415
1300000 139022
1301000 138135
1302000 139238
1303000 139045
1304000 137293
1305000 138149
1306000 139123
1307000 137864
1308000 138704
1309000 138455
1310000 138471
1311000 138693
1312000 138502
1313000 138434
1314000 138568
1315000 137950
1316000 138067
1317000 137990
1318000 136966
1319000 137198
1320000 138233
1321000 137878
1322000 138260
1323000 138308
1324000 137508
1325000 138346
1326000 137738
1327000 138537
1328000 137332
1329000 137718
1330000 137640
1331000 138530
1332000 138294
1333000 138579
1334000 138401
1335000 138333
1336000 139065
1337000 138204
1338000 137431
1339000 138297
1340000 138540
1341000 138277
1342000 138750
1343000 138497
1344000 138218
1345000 138363
1346000 138190
1347000 137990
1348000 137661
1349000 138137
1350000 138274
