# Time-averaged data for fix myat2
# TimeStep v_myvol
1000 124132
2000 123670
3000 123921
4000 123749
5000 123960
6000 123371
7000 123481
8000 123504
9000 123745
10000 123468
11000 123719
12000 123381
13000 123867
14000 123584
15000 123770
16000 123701
17000 123611
18000 124008
19000 123923
20000 124375
21000 124163
22000 123957
23000 123900
24000 124099
25000 123593
26000 123988
27000 123861
28000 124008
29000 124010
30000 123873
31000 123793
32000 124156
33000 124189
34000 123854
35000 124104
36000 123730
37000 123915
38000 123618
39000 124428
40000 124224
41000 124346
42000 124458
43000 123904
44000 124310
45000 124124
46000 123829
47000 124082
48000 123930
49000 123919
50000 123836
51000 123878
52000 123548
53000 124048
54000 124425
55000 123432
56000 123537
57000 124129
58000 124177
59000 124683
60000 124177
61000 124171
62000 124178
63000 123908
64000 124161
65000 124021
66000 123955
67000 123780
68000 124528
69000 124144
70000 123733
71000 124243
72000 124217
73000 124128
74000 123955
75000 124238
76000 124298
77000 124132
78000 123897
79000 123913
80000 124229
81000 124267
82000 123555
83000 123947
84000 123694
85000 124125
86000 123672
87000 123737
88000 124384
89000 124262
90000 123774
91000 124113
92000 123300
93000 123690
94000 123893
95000 123452
96000 123731
97000 123634
98000 124034
99000 124194
100000 123756
101000 123684
102000 123854
103000 124057
104000 123437
105000 123627
106000 124086
107000 123921
108000 123886
109000 124161
110000 123852
111000 124454
112000 123818
113000 124015
114000 123975
115000 123908
116000 123777
117000 123811
118000 123976
119000 124088
120000 123705
121000 123764
122000 123974
123000 124184
124000 124102
125000 124013
126000 124286
127000 123879
128000 124072
129000 123434
130000 123929
131000 124080
132000 123683
133000 123555
134000 123971
135000 123340
136000 124163
137000 123931
138000 124254
139000 123870
140000 123880
141000 123988
142000 124443
143000 124006
144000 124056
145000 123790
146000 124075
147000 123689
148000 123852
149000 123872
150000 124299
151000 123600
152000 124005
153000 123922
154000 123485
155000 123419
156000 123916
157000 123994
158000 124259
159000 123948
160000 123929
161000 123690
162000 124196
163000 123494
164000 123572
165000 124041
166000 123915
167000 124026
168000 124002
169000 123560
170000 123631
171000 123456
172000 123712
173000 123355
174000 123506
175000 123762
176000 123610
177000 123954
178000 123437
179000 123608
180000 123965
181000 123876
182000 123737
183000 123356
184000 123995
185000 124130
186000 123804
187000 123962
188000 123846
189000 123581
190000 123745
191000 123781
192000 123727
193000 123788
194000 123595
195000 123793
196000 124103
197000 123806
198000 123513
199000 123412
200000 124014
201000 123552
202000 124098
203000 123738
204000 124186
205000 124051
206000 123185
207000 123657
208000 123838
209000 123518
210000 123452
211000 123795
212000 123905
213000 123863
214000 123397
215000 123701
216000 123592
217000 123883
218000 123746
219000 123799
220000 123913
221000 123531
222000 123679
223000 123982
224000 123912
225000 123496
226000 123685
227000 123715
228000 123461
229000 124347
230000 123851
231000 123865
232000 123688
233000 123440
234000 123978
235000 123736
236000 123575
237000 123785
238000 123388
239000 123741
240000 123955
241000 123479
242000 124198
243000 123512
244000 123956
245000 123918
246000 123735
247000 123918
248000 123929
249000 123844
250000 123775
251000 123785
252000 123467
253000 123508
254000 124109
255000 123511
256000 123771
257000 123782
258000 123630
259000 123693
260000 124009
261000 123862
262000 124416
263000 123575
264000 123932
265000 123551
266000 123622
267000 123217
268000 124127
269000 123548
270000 123755
271000 123398
272000 123820
273000 124196
274000 123666
275000 123891
276000 123829
277000 124308
278000 123810
279000 124000
280000 123895
281000 123488
282000 124347
283000 123834
284000 123680
285000 123532
286000 124129
287000 124127
288000 123415
289000 124020
290000 123339
291000 124020
292000 124073
293000 123753
294000 124333
295000 124018
296000 124205
297000 123828
298000 124042
299000 123725
300000 123637
301000 124077
302000 124287
303000 124101
304000 124178
305000 124245
306000 124369
307000 124328
308000 123705
309000 124013
310000 123521
311000 123810
312000 123696
313000 123684
314000 123932
315000 123226
316000 123889
317000 123711
318000 123622
319000 123568
320000 123924
321000 123491
322000 123540
323000 123506
324000 123503
325000 123738
326000 123948
327000 123484
328000 123680
329000 123132
330000 123547
331000 123530
332000 122951
333000 123888
334000 123943
335000 123628
336000 123655
337000 123953
338000 123890
339000 123750
340000 123633
341000 123515
342000 123478
343000 123329
344000 123734
345000 123845
346000 123666
347000 123817
348000 123840
349000 123978
350000 123371
351000 124229
352000 123621
353000 123222
354000 123354
355000 123488
356000 124117
357000 123624
358000 123936
359000 123814
360000 124162
361000 124250
362000 123721
363000 123818
364000 123533
365000 123592
366000 123589
367000 123699
368000 123468
369000 123380
370000 123464
371000 123321
372000 123624
373000 123808
374000 123764
375000 123725
376000 123775
377000 123727
378000 123153
379000 124222
380000 124037
381000 123609
382000 123447
383000 124098
384000 123481
385000 124331
386000 124169
387000 123890
388000 124162
389000 124142
390000 124218
391000 124006
392000 124207
393000 123782
394000 123936
395000 123941
396000 124102
397000 123875
398000 124180
399000 124058
400000 124433
401000 124368
402000 124396
403000 123980
404000 123914
405000 123715
406000 123841
407000 123943
408000 123923
409000 124107
410000 123913
411000 124328
412000 123714
413000 123315
414000 124146
415000 123829
416000 124143
417000 123847
418000 124186
419000 123921
420000 123972
421000 123914
422000 124223
423000 124135
424000 124288
425000 124320
426000 124052
427000 124031
428000 124162
429000 123708
430000 123583
431000 123828
432000 124375
433000 124416
434000 124098
435000 123936
436000 124151
437000 123803
438000 123728
439000 123285
440000 124135
441000 123841
442000 123679
443000 123598
444000 123425
445000 123454
446000 123574
447000 123414
448000 123991
449000 123649
450000 123510
451000 123788
452000 124081
453000 123963
454000 123725
455000 123752
456000 123991
457000 123517
458000 123737
459000 123698
460000 124076
461000 124439
462000 123986
463000 123839
464000 123301
465000 124052
466000 123500
467000 123320
468000 123937
469000 123913
470000 123892
471000 123915
472000 123398
473000 123374
474000 123686
475000 123940
476000 123727
477000 123623
478000 123930
479000 123372
480000 123483
481000 123526
482000 123401
483000 123426
484000 123670
485000 124169
486000 123506
487000 123385
488000 124011
489000 124065
490000 123881
491000 124137
492000 123693
493000 123907
494000 124031
495000 123603
496000 124215
497000 123619
498000 123364
499000 123406
500000 123712
501000 123845
502000 123237
503000 123600
504000 123691
505000 123331
506000 123727
507000 123765
508000 123800
509000 123887
510000 123069
511000 123623
512000 123726
513000 123955
514000 123218
515000 123891
516000 123516
517000 123879
518000 123205
519000 123799
520000 122976
521000 123660
522000 123608
523000 123375
524000 123727
525000 123458
526000 123501
527000 123379
528000 123104
529000 123496
530000 124044
531000 124313
532000 123855
533000 123764
534000 123812
535000 123650
536000 123674
537000 124145
538000 123712
539000 123624
540000 123282
541000 124005
542000 123900
543000 123923
544000 123996
545000 123840
546000 123882
547000 124160
548000 123841
549000 124197
550000 123667
551000 123525
552000 123942
553000 123926
554000 123718
555000 124079
556000 123751
557000 123496
558000 124068
559000 124178
560000 124401
561000 124047
562000 123300
563000 123732
564000 123823
565000 123833
566000 123928
567000 123450
568000 123781
569000 123825
570000 123635
571000 123884
572000 123854
573000 123667
574000 123625
575000 123658
576000 123540
577000 123858
578000 123888
579000 123935
580000 123805
581000 123698
582000 124316
583000 123524
584000 123380
585000 123347
586000 123417
587000 123854
588000 123551
589000 123752
590000 123589
591000 123429
592000 123427
593000 123821
594000 124053
595000 123394
596000 123612
597000 123873
598000 123789
599000 123900
600000 123527
601000 123762
602000 123212
603000 123464
604000 123895
605000 123690
606000 123930
607000 124173
608000 123853
609000 123219
610000 123577
611000 123669
612000 123794
613000 123206
614000 123537
615000 123788
616000 123145
617000 123313
618000 124122
619000 123449
620000 123481
621000 123731
622000 123358
623000 123856
624000 123671
625000 123719
626000 123107
627000 123359
628000 123467
629000 124103
630000 124056
631000 123662
632000 123378
633000 123472
634000 123306
635000 123988
636000 123895
637000 124055
638000 123321
639000 123869
640000 123153
641000 123505
642000 123657
643000 123493
644000 124277
645000 123517
646000 123485
647000 123593
648000 123851
649000 123953
650000 123566
651000 123432
652000 123740
653000 123033
654000 123642
655000 123763
656000 123916
657000 123822
658000 123587
659000 123640
660000 123447
661000 123455
662000 124050
663000 124136
664000 123913
665000 124269
666000 123865
667000 124039
668000 123925
669000 123863
670000 123854
671000 124153
672000 124457
673000 123889
674000 124087
675000 124286
676000 123817
677000 123887
678000 123508
679000 123806
680000 123534
681000 123554
682000 123542
683000 123760
684000 123399
685000 123760
686000 123496
687000 123885
688000 123311
689000 123803
690000 123611
691000 124043
692000 123557
693000 123798
694000 123922
695000 123570
696000 124187
697000 123379
698000 124114
699000 123812
700000 124099
701000 124004
702000 123733
703000 123946
704000 123753
705000 123634
706000 124279
707000 124044
708000 124386
709000 124213
710000 123961
711000 124236
712000 123776
713000 123600
714000 123929
715000 124005
716000 124102
717000 123263
718000 123612
719000 124217
720000 123875
721000 123895
722000 124058
723000 123767
724000 123836
725000 123906
726000 124036
727000 123786
728000 123699
729000 123886
730000 123659
731000 123969
732000 123519
733000 124193
734000 123785
735000 123348
736000 123921
737000 123754
738000 124038
739000 123402
740000 123976
741000 123824
742000 123882
743000 124438
744000 123562
745000 123637
746000 123518
747000 123589
748000 123575
749000 123876
750000 123861
751000 123869
752000 123458
753000 123733
754000 123946
755000 123714
756000 123786
757000 124030
758000 123867
759000 123796
760000 123539
761000 123737
762000 124020
763000 123776
764000 124265
765000 124041
766000 123602
767000 123569
768000 123634
769000 123743
770000 123810
771000 123447
772000 123742
773000 123746
774000 123160
775000 123866
776000 123600
777000 123342
778000 123532
779000 123124
780000 123888
781000 123316
782000 123582
783000 123318
784000 123526
785000 123578
786000 123552
787000 123127
788000 123385
789000 123984
790000 123549
791000 123886
792000 123197
793000 123843
794000 123312
795000 123906
796000 123324
797000 123663
798000 123013
799000 123189
800000 123073
801000 123264
802000 123259
803000 123387
804000 123327
805000 123506
806000 123582
807000 123370
808000 123368
809000 123682
810000 123223
811000 123841
812000 123137
813000 123333
814000 123729
815000 123860
816000 123228
817000 123774
818000 123327
819000 123878
820000 123985
821000 124205
822000 123559
823000 123139
824000 123349
825000 123612
826000 123725
827000 123676
828000 123903
829000 123858
830000 123602
831000 123357
832000 123262
833000 124030
834000 123666
835000 123414
836000 123516
837000 123666
838000 123824
839000 123469
840000 123596
841000 123365
842000 123710
843000 123716
844000 123478
845000 123441
846000 123467
847000 124117
848000 123603
849000 123206
850000 123370
851000 123597
852000 124032
853000 123848
854000 123547
855000 123624
856000 123597
857000 123816
858000 123535
859000 123579
860000 124102
861000 123418
862000 124471
863000 123677
864000 123657
865000 123644
866000 123435
867000 124084
868000 123291
869000 123390
870000 124076
871000 123887
872000 123709
873000 123780
874000 123697
875000 123882
876000 124220
877000 124152
878000 124038
879000 123609
880000 123407
881000 123709
882000 123526
883000 123761
884000 123392
885000 124002
886000 123572
887000 123161
888000 123999
889000 123709
890000 123240
891000 123573
892000 123617
893000 123501
894000 123670
895000 123337
896000 123418
897000 123634
898000 123479
899000 123220
900000 123798
901000 124032
902000 123528
903000 123510
904000 123795
905000 123456
906000 123527
907000 123642
908000 123706
909000 123815
910000 123634
911000 123943
912000 123791
913000 123781
914000 123378
915000 123387
916000 123514
917000 123347
918000 123604
919000 123471
920000 123271
921000 123459
922000 123609
923000 123842
924000 123482
925000 123249
926000 124033
927000 123207
928000 123281
929000 123257
930000 123520
931000 123210
932000 123757
933000 123179
934000 122858
935000 122856
936000 123060
937000 123215
938000 123214
939000 122570
940000 123193
941000 122818
942000 123730
943000 123746
944000 123676
945000 123341
946000 123472
947000 123337
948000 123379
949000 123304
950000 123600
951000 123164
952000 123400
953000 123256
954000 123028
955000 123161
956000 123018
957000 122969
958000 123398
959000 123317
960000 123133
961000 123497
962000 123093
963000 123409
964000 123526
965000 123492
966000 123400
967000 123410
968000 122963
969000 123511
970000 123289
971000 123176
