# Time-averaged data for fix myat2
# TimeStep v_myvol
10000 123357
20000 123436
30000 123347
40000 123285
50000 123487
60000 123496
70000 123477
80000 123375
90000 123368
100000 123537
110000 123262
120000 123405
130000 123195
140000 123134
150000 123573
160000 123001
170000 123350
180000 123527
190000 123340
200000 123265
210000 123626
220000 123638
230000 123844
240000 123567
250000 123797
260000 123653
270000 123607
280000 123402
290000 123428
300000 123397
310000 123244
320000 123487
330000 123384
340000 123897
350000 123831
360000 123655
370000 123360
380000 123259
390000 123475
400000 123288
410000 123500
420000 123082
430000 123386
440000 123435
450000 123119
460000 123379
470000 123454
480000 123372
490000 123518
500000 123414
510000 123130
520000 123327
530000 123272
540000 123309
550000 123346
560000 123354
570000 123471
580000 123357
590000 123450
600000 123317
610000 123481
620000 123220
630000 123328
640000 123399
650000 123328
660000 123500
670000 123157
680000 123551
690000 123520
700000 123522
710000 123368
720000 123441
730000 123425
740000 123523
750000 123699
760000 123489
770000 123531
780000 123470
790000 123389
800000 123226
810000 123309
820000 123052
830000 123235
840000 123295
850000 123230
860000 123223
870000 123285
880000 123190
890000 123109
900000 123747
910000 123259
920000 123551
930000 123491
940000 123346
950000 123863
960000 123441
970000 123451
980000 123503
990000 123449
1000000 123364
1010000 123457
1020000 123063
1030000 123340
1040000 123203
1050000 123173
1060000 123287
1070000 123103
1080000 123024
1090000 123367
1100000 123741
1110000 123606
1120000 123666
1130000 123751
1140000 123630
1150000 123343
1160000 123422
1170000 123266
1180000 123409
1190000 123419
1200000 123481
1210000 123491
1220000 123672
1230000 123518
1240000 123481
1250000 123728
1260000 123077
1270000 123555
1280000 123446
1290000 123508
1300000 123804
1310000 123742
1320000 123605
1330000 123361
1340000 123652
1350000 123680
1360000 123543
1370000 123546
1380000 123403
1390000 123702
1400000 123572
1410000 123609
1420000 123587
1430000 123594
1440000 123705
1450000 123492
1460000 123885
1470000 123702
1480000 123988
1490000 123801
1500000 123533
1510000 123879
1520000 123664
1530000 123462
1540000 123706
1550000 123378
1560000 123330
1570000 123415
1580000 123156
1590000 123037
1600000 123233
1610000 123045
1620000 123150
1630000 123172
1640000 123284
1650000 123709
1660000 123434
1670000 123520
1680000 123181
1690000 123458
1700000 123443
1710000 123459
1720000 123218
1730000 123141
1740000 123599
1750000 123403
1760000 123187
1770000 123329
1780000 123523
1790000 123435
1800000 123462
1810000 123409
1820000 123224
1830000 123270
1840000 123349
1850000 123327
1860000 123331
1870000 123044
1880000 123658
1890000 123335
1900000 123065
1910000 123500
1920000 123566
1930000 123118
1940000 123421
1950000 123615
1960000 123288
1970000 123734
1980000 123482
1990000 123476
2000000 123322
2010000 123447
2020000 123394
2030000 123203
2040000 123385
2050000 123361
2060000 123422
2070000 123693
2080000 123983
2090000 123744
2100000 123266
2110000 123303
2120000 123400
2130000 123389
2140000 123333
2150000 123395
2160000 123434
2170000 123136
2180000 123201
2190000 122947
2200000 123294
2210000 123584
2220000 123316
2230000 123358
2240000 123358
2250000 123209
2260000 123794
2270000 123676
2280000 123659
2290000 123324
2300000 123506
2310000 123456
2320000 123479
2330000 123174
2340000 123433
2350000 123411
2360000 123469
2370000 123420
2380000 123224
2390000 123558
2400000 123401
2410000 123363
2420000 123533
2430000 123463
2440000 123791
2450000 123656
2460000 123424
2470000 123515
2480000 124010
2490000 123500
2500000 123648
2510000 123359
2520000 123406
2530000 123196
2540000 123169
2550000 123095
2560000 123521
2570000 123520
2580000 123610
2590000 123250
2600000 123219
2610000 123244
2620000 123187
2630000 123203
2640000 123089
2650000 123560
2660000 123508
2670000 123050
2680000 123279
2690000 123367
2700000 123532
2710000 123581
2720000 123740
2730000 123237
2740000 123259
2750000 123591
2760000 123732
2770000 123589
2780000 123671
2790000 123466
2800000 123584
2810000 123343
2820000 123426
2830000 123301
2840000 123417
2850000 123621
2860000 123480
2870000 123356
2880000 123503
2890000 123341
2900000 123489
2910000 123234
2920000 123581
2930000 123716
2940000 123093
2950000 123446
2960000 123508
2970000 123574
2980000 123719
2990000 123613
3000000 123402
3010000 123599
3020000 123457
3030000 123394
3040000 123356
3050000 123261
3060000 123010
3070000 123364
3080000 123519
3090000 123207
3100000 123190
3110000 123465
3120000 123248
3130000 123302
3140000 123323
3150000 123188
3160000 123584
3170000 123468
3180000 123262
3190000 123077
3200000 123233
3210000 123070
3220000 123203
3230000 123377
3240000 123110
3250000 123552
3260000 123190
3270000 123215
3280000 123210
3290000 123330
3300000 123279
3310000 123369
3320000 123782
3330000 123624
3340000 123760
3350000 123427
3360000 123141
3370000 123402
3380000 123337
3390000 123238
3400000 123569
3410000 123165
3420000 123194
3430000 123057
3440000 123645
3450000 123280
3460000 123573
3470000 123346
3480000 123189
3490000 123143
3500000 123576
3510000 123257
3520000 123353
3530000 123531
3540000 123361
3550000 123005
3560000 123027
3570000 123069
3580000 123082
3590000 123496
3600000 123177
3610000 123282
3620000 123307
3630000 123440
3640000 123710
3650000 123104
3660000 123259
3670000 123310
3680000 123227
3690000 123243
3700000 123433
3710000 123259
3720000 123451
3730000 123842
3740000 123878
3750000 123431
3760000 123358
3770000 123559
3780000 123278
3790000 123276
3800000 123153
3810000 123356
3820000 123364
3830000 123390
3840000 123428
3850000 123110
3860000 123571
3870000 123581
3880000 123229
3890000 123310
3900000 123444
3910000 123206
3920000 123437
3930000 123775
3940000 123701
3950000 123558
3960000 123265
3970000 123227
3980000 123206
3990000 123321
4000000 123284
