# Time-averaged data for fix myat2
# TimeStep v_myvol
1000 138026
2000 137828
3000 137695
4000 137233
5000 137655
6000 138319
7000 138412
8000 138374
9000 138187
10000 137921
11000 137411
12000 138919
13000 138772
14000 138498
15000 138307
16000 138480
17000 137804
18000 138355
19000 138547
20000 138191
21000 138265
22000 137687
23000 137141
24000 137317
25000 137965
26000 138080
27000 138073
28000 138487
29000 137578
30000 137734
31000 138029
32000 137712
33000 138141
34000 137676
35000 137785
36000 137562
37000 137448
38000 138015
39000 136273
40000 136899
41000 136768
42000 137451
43000 136933
44000 137856
45000 137612
46000 137351
47000 137698
48000 136945
49000 137774
50000 137350
51000 137971
52000 137269
53000 136708
54000 137002
55000 137124
56000 137046
57000 136400
58000 136489
59000 136514
60000 136451
61000 137201
62000 137599
63000 135812
64000 137261
65000 137499
66000 136762
67000 136872
68000 136887
69000 137767
70000 136899
71000 137112
72000 136710
73000 136451
74000 136807
75000 136458
76000 136387
77000 136712
78000 137224
79000 136759
80000 137393
81000 136812
82000 136357
83000 137303
84000 136327
85000 136721
86000 136077
87000 135889
88000 137168
89000 135886
90000 136551
91000 137088
92000 136650
93000 137463
94000 136870
95000 136943
96000 137076
97000 136980
98000 136841
99000 136353
100000 137482
101000 136849
102000 136895
103000 136874
104000 137106
105000 136229
106000 136297
107000 136398
108000 136461
109000 136882
110000 136283
111000 137269
112000 137034
113000 136819
114000 137643
115000 136872
116000 137242
117000 135958
118000 136686
119000 136684
120000 136937
121000 137307
122000 135755
123000 136533
124000 136673
125000 137302
126000 135721
127000 136005
128000 135329
129000 136592
130000 135558
131000 136247
132000 136369
133000 135930
134000 136246
135000 136125
136000 137623
137000 136232
138000 136680
139000 136671
140000 136431
141000 136147
142000 136602
143000 135876
144000 136263
145000 136801
146000 136246
147000 136235
148000 137309
149000 136328
150000 137126
151000 137105
152000 136488
153000 136441
154000 136461
155000 136804
156000 137502
157000 136843
158000 137560
159000 136724
160000 135972
161000 137190
162000 136984
163000 137162
164000 136360
165000 136407
166000 137264
167000 136197
168000 136395
169000 136618
170000 137198
171000 136301
172000 138230
173000 136344
174000 137352
175000 136301
176000 136780
177000 137112
178000 137349
179000 136946
180000 136874
181000 137142
182000 137520
183000 136841
184000 136848
185000 136632
186000 136449
187000 136536
188000 136879
189000 136584
190000 136550
191000 137096
192000 136749
193000 136789
194000 136373
195000 136812
196000 137183
197000 135826
198000 137084
199000 136950
200000 137010
201000 136962
202000 135928
203000 136082
204000 136829
205000 136522
206000 136864
207000 136474
208000 136158
209000 136270
210000 137268
211000 135742
212000 136147
213000 136315
214000 135630
215000 136001
216000 135754
217000 135744
218000 135169
219000 136183
220000 135596
221000 135523
222000 135680
223000 136716
224000 135739
225000 136254
226000 135812
227000 136405
228000 135685
229000 135540
230000 135029
231000 134946
232000 136091
233000 135129
234000 135882
235000 136060
236000 135669
237000 135164
238000 136202
239000 135022
240000 135566
241000 134746
242000 135600
243000 134589
244000 135771
245000 135237
246000 136031
247000 135968
248000 135737
249000 136042
250000 135427
251000 135246
252000 135980
253000 135561
254000 136596
255000 135422
256000 135596
257000 135834
258000 136228
259000 135751
260000 135981
261000 135015
262000 135424
263000 135300
264000 135520
265000 135436
266000 134602
267000 135591
268000 135461
269000 135471
270000 135616
271000 135462
272000 135651
273000 135683
274000 135697
275000 135434
276000 135702
277000 135019
278000 136034
279000 136346
280000 136395
281000 136190
282000 136412
283000 136071
284000 136054
285000 136688
286000 136109
287000 135661
288000 135648
289000 135228
290000 136382
291000 135697
292000 135565
293000 136393
294000 135791
295000 135746
296000 136170
297000 135743
298000 135596
299000 135362
300000 136473
301000 136020
302000 135790
303000 135275
304000 135358
305000 135145
306000 135131
307000 134560
308000 134895
309000 134625
310000 135326
311000 135055
312000 134731
313000 134832
314000 134627
315000 134786
316000 134934
317000 134296
318000 135679
319000 135093
320000 135255
321000 135553
322000 135450
323000 135763
324000 135295
325000 134891
326000 135589
327000 135585
328000 136761
329000 135912
330000 135554
331000 135409
332000 135847
333000 135482
334000 135615
335000 135801
336000 134938
337000 134478
338000 135665
339000 135429
340000 135587
341000 135698
342000 136880
343000 136394
344000 136036
345000 136204
346000 136347
347000 137079
348000 136577
349000 136451
350000 136818
351000 136211
352000 136750
353000 135937
354000 135276
355000 135304
356000 136487
357000 136407
358000 137206
359000 136158
360000 135836
361000 136304
362000 136571
363000 136771
364000 136337
365000 137214
